+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | bybit      |
| Market type                 | futures    |
| Symbol                      | DOGEUSDT   |
| Passivbot mode              | clock      |
| No. days                    | 940.0      |
| Starting balance            | 1000.0     |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.348%     |
| Final balance               | 2257.01    |
| Final equity                | 2257.01    |
| Net PNL + fees              | 1257.01    |
| Total gain                  | 127.6%     |
| Average daily gain          | 0.087%     |
| Net PNL + fees              | 1257.01    |
| Loss to profit ratio        | 0.142      |
| Price action distance mean  | 0.00622939 |
| Price action distance std   | 0.0105624  |
| Price action distance max   | 0.487754   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.918      |
| Equity/balance ratio std    | 0.001398   |
| No. fills                   | 13349      |
| No. entries                 | 7598       |
| No. closes                  | 5751       |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 7598       |
| No. unstuck/EMA closes      | 5397       |
| No. normal closes           | 354        |
| Average n fills per day     | 14.3       |
| Mean hours stuck            | 1.68213    |
| Max hours stuck             | 53.2333    |
| PNL sum                     | 1276.0     |
| Profit sum                  | 1488.0     |
| Loss sum                    | -211.2     |
| Fee sum                     | -19.35     |
| Volume quote                | 182206.0   |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | -0.313%    |
| Final balance               | 746.099    |
| Final equity                | 746.104    |
| Net PNL + fees              | -253.901   |
| Total gain                  | -25.19%    |
| Average daily gain          | -0.0313%   |
| Net PNL + fees              | -253.901   |
| Loss to profit ratio        | 4.194      |
| Price action distance mean  | 0.0170749  |
| Price action distance std   | 0.0638341  |
| Price action distance max   | 0.787169   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.6301     |
| Equity/balance ratio std    | 0.006358   |
| No. fills                   | 8918       |
| No. entries                 | 4923       |
| No. closes                  | 3995       |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 4923       |
| No. unstuck/EMA closes      | 3933       |
| No. normal closes           | 62         |
| Average n fills per day     | 9.53       |
| Mean hours stuck            | 2.518      |
| Max hours stuck             | 247.067    |
| PNL sum                     | -251.9     |
| Profit sum                  | 78.87      |
| Loss sum                    | -330.8     |
| Fee sum                     | -1.987     |
| Volume quote                | 19112.3    |
+-----------------------------+------------+
