+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | bybit      |
| Market type                 | futures    |
| Symbol                      | ETHUSDT    |
| Passivbot mode              | clock      |
| No. days                    | 1100.0     |
| Starting balance            | 1000.0     |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.146%     |
| Final balance               | 1508.38    |
| Final equity                | 1508.38    |
| Net PNL + fees              | 508.376    |
| Total gain                  | 64.05%     |
| Average daily gain          | 0.0365%    |
| Net PNL + fees              | 508.376    |
| Loss to profit ratio        | 0.5331     |
| Price action distance mean  | 0.00527572 |
| Price action distance std   | 0.00705708 |
| Price action distance max   | 0.0955322  |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9776     |
| Equity/balance ratio std    | 0.0001515  |
| No. fills                   | 18357      |
| No. entries                 | 9445       |
| No. closes                  | 8912       |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 9445       |
| No. unstuck/EMA closes      | 8887       |
| No. normal closes           | 25         |
| Average n fills per day     | 16.3       |
| Mean hours stuck            | 1.47115    |
| Max hours stuck             | 124.467    |
| PNL sum                     | 640.5      |
| Profit sum                  | 1372.0     |
| Loss sum                    | -731.2     |
| Fee sum                     | -132.1     |
| Volume quote                | 735758.0   |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | 0.00917%   |
| Final balance               | 1010.39    |
| Final equity                | 1010.39    |
| Net PNL + fees              | 10.3873    |
| Total gain                  | 6.911%     |
| Average daily gain          | 0.000917%  |
| Net PNL + fees              | 10.3873    |
| Loss to profit ratio        | 0.922      |
| Price action distance mean  | 0.00549009 |
| Price action distance std   | 0.00541217 |
| Price action distance max   | 0.0460497  |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9953     |
| Equity/balance ratio std    | 0.0001471  |
| No. fills                   | 22449      |
| No. entries                 | 11481      |
| No. closes                  | 10968      |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 11481      |
| No. unstuck/EMA closes      | 10955      |
| No. normal closes           | 13         |
| Average n fills per day     | 19.9       |
| Mean hours stuck            | 1.20481    |
| Max hours stuck             | 94.9833    |
| PNL sum                     | 69.11      |
| Profit sum                  | 885.7      |
| Loss sum                    | -816.6     |
| Fee sum                     | -58.72     |
| Volume quote                | 307047.0   |
+-----------------------------+------------+
