+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | bybit      |
| Market type                 | futures    |
| Symbol                      | MATICUSDT  |
| Passivbot mode              | clock      |
| No. days                    | 830.0      |
| Starting balance            | 1000.0     |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.271%     |
| Final balance               | 1755.16    |
| Final equity                | 1755.16    |
| Net PNL + fees              | 755.156    |
| Total gain                  | 97.7%      |
| Average daily gain          | 0.0677%    |
| Net PNL + fees              | 755.156    |
| Loss to profit ratio        | 0.715      |
| Price action distance mean  | 0.00643083 |
| Price action distance std   | 0.0074175  |
| Price action distance max   | 0.109323   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9832     |
| Equity/balance ratio std    | 0.0002332  |
| No. fills                   | 27100      |
| No. entries                 | 14302      |
| No. closes                  | 12798      |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 14302      |
| No. unstuck/EMA closes      | 12624      |
| No. normal closes           | 174        |
| Average n fills per day     | 32.6       |
| Mean hours stuck            | 0.736472   |
| Max hours stuck             | 120.283    |
| PNL sum                     | 977.0      |
| Profit sum                  | 3428.0     |
| Loss sum                    | -2451.0    |
| Fee sum                     | -221.9     |
| Volume quote                | 1312330.0  |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | -0.135%    |
| Final balance               | 893.637    |
| Final equity                | 893.799    |
| Net PNL + fees              | -106.363   |
| Total gain                  | -0.3544%   |
| Average daily gain          | -0.0135%   |
| Net PNL + fees              | -106.363   |
| Loss to profit ratio        | 1.001      |
| Price action distance mean  | 0.0101124  |
| Price action distance std   | 0.011248   |
| Price action distance max   | 0.147178   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9885     |
| Equity/balance ratio std    | 0.001144   |
| No. fills                   | 41689      |
| No. entries                 | 21926      |
| No. closes                  | 19763      |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 21926      |
| No. unstuck/EMA closes      | 19575      |
| No. normal closes           | 188        |
| Average n fills per day     | 50.1       |
| Mean hours stuck            | 0.478815   |
| Max hours stuck             | 74.5833    |
| PNL sum                     | -3.544     |
| Profit sum                  | 2584.0     |
| Loss sum                    | -2588.0    |
| Fee sum                     | -102.8     |
| Volume quote                | 570430.0   |
+-----------------------------+------------+
