+----------------------------------------------+
|                   Summary                    |
+-----------------------------+----------------+
| Metric                      | Value          |
+-----------------------------+----------------+
| Exchange                    | bybit          |
| Market type                 | futures        |
| Symbol                      | COMPUSDT       |
| Passivbot mode              | recursive_grid |
| No. days                    | 970.0          |
| Starting balance            | 1000.0         |
|                             |                |
| Long                        | True           |
| ADG realized per exposure   | 0.238%         |
| Final balance               | 2003.22        |
| Final equity                | 2002.84        |
| Net PNL + fees              | 1003.22        |
| Total gain                  | 101.7%         |
| Average daily gain          | 0.0714%        |
| Net PNL + fees              | 1003.22        |
| Loss to profit ratio        | 0.06158        |
| Price action distance mean  | 0.0150257      |
| Price action distance std   | 0.0199792      |
| Price action distance max   | 0.580956       |
| Closest bankruptcy          | 100.0%         |
| Lowest equity/balance ratio | 0.8895         |
| Equity/balance ratio std    | 0.004297       |
| No. fills                   | 6036           |
| No. entries                 | 3698           |
| No. closes                  | 2338           |
| No. initial entries         | 1956           |
| No. reentries               | 1598           |
| No. unstuck/EMA entries     | 144            |
| No. unstuck/EMA closes      | 307            |
| No. normal closes           | 2031           |
| Average n fills per day     | 6.2            |
| Mean hours stuck            | 3.86746        |
| Max hours stuck             | 81.8667        |
| PNL sum                     | 1017.0         |
| Profit sum                  | 1084.0         |
| Loss sum                    | -66.74         |
| Fee sum                     | -13.92         |
| Volume quote                | 353326.0       |
|                             |                |
| Short                       | True           |
| ADG realized per exposure   | 0.0886%        |
| Final balance               | 1090.07        |
| Final equity                | 1090.07        |
| Net PNL + fees              | 90.0746        |
| Total gain                  | 9.182%         |
| Average daily gain          | 0.00886%       |
| Net PNL + fees              | 90.0746        |
| Loss to profit ratio        | 0.0            |
| Price action distance mean  | 0.0204644      |
| Price action distance std   | 0.0243493      |
| Price action distance max   | 0.235104       |
| Closest bankruptcy          | 100.0%         |
| Lowest equity/balance ratio | 0.9763         |
| Equity/balance ratio std    | 0.001117       |
| No. fills                   | 5146           |
| No. entries                 | 2963           |
| No. closes                  | 2183           |
| No. initial entries         | 1979           |
| No. reentries               | 982            |
| No. unstuck/EMA entries     | 2              |
| No. unstuck/EMA closes      | 0              |
| No. normal closes           | 2183           |
| Average n fills per day     | 5.29           |
| Mean hours stuck            | 4.52324        |
| Max hours stuck             | 95.7833        |
| PNL sum                     | 91.82          |
| Profit sum                  | 91.82          |
| Loss sum                    | 0.0            |
| Fee sum                     | -1.749         |
| Volume quote                | 18071.1        |
+-----------------------------+----------------+
