+----------------------------------------------+
|                   Summary                    |
+-----------------------------+----------------+
| Metric                      | Value          |
+-----------------------------+----------------+
| Exchange                    | bybit          |
| Market type                 | futures        |
| Symbol                      | MATICUSDT      |
| Passivbot mode              | recursive_grid |
| No. days                    | 860.0          |
| Starting balance            | 1000.0         |
|                             |                |
| Long                        | True           |
| ADG realized per exposure   | 0.595%         |
| Final balance               | 4636.28        |
| Final equity                | 4636.0         |
| Net PNL + fees              | 3636.28        |
| Total gain                  | 371.8%         |
| Average daily gain          | 0.179%         |
| Net PNL + fees              | 3636.28        |
| Loss to profit ratio        | 0.001193       |
| Price action distance mean  | 0.0127124      |
| Price action distance std   | 0.0243172      |
| Price action distance max   | 0.71965        |
| Closest bankruptcy          | 100.0%         |
| Lowest equity/balance ratio | 0.874          |
| Equity/balance ratio std    | 0.004413       |
| No. fills                   | 13518          |
| No. entries                 | 8145           |
| No. closes                  | 5373           |
| No. initial entries         | 4795           |
| No. reentries               | 3053           |
| No. unstuck/EMA entries     | 297            |
| No. unstuck/EMA closes      | 90             |
| No. normal closes           | 5283           |
| Average n fills per day     | 15.7           |
| Mean hours stuck            | 1.52496        |
| Max hours stuck             | 70.55          |
| PNL sum                     | 3718.0         |
| Profit sum                  | 3722.0         |
| Loss sum                    | -4.439         |
| Fee sum                     | -81.31         |
| Volume quote                | 1123720.0      |
|                             |                |
| Short                       | True           |
| ADG realized per exposure   | 0.15%          |
| Final balance               | 1137.16        |
| Final equity                | 1137.16        |
| Net PNL + fees              | 137.16         |
| Total gain                  | 14.1%          |
| Average daily gain          | 0.015%         |
| Net PNL + fees              | 137.16         |
| Loss to profit ratio        | 0.001385       |
| Price action distance mean  | 0.0172919      |
| Price action distance std   | 0.0176661      |
| Price action distance max   | 0.254708       |
| Closest bankruptcy          | 100.0%         |
| Lowest equity/balance ratio | 0.9652         |
| Equity/balance ratio std    | 0.001202       |
| No. fills                   | 8970           |
| No. entries                 | 4886           |
| No. closes                  | 4084           |
| No. initial entries         | 3914           |
| No. reentries               | 957            |
| No. unstuck/EMA entries     | 15             |
| No. unstuck/EMA closes      | 5              |
| No. normal closes           | 4079           |
| Average n fills per day     | 10.4           |
| Mean hours stuck            | 2.29691        |
| Max hours stuck             | 94.5167        |
| PNL sum                     | 141.0          |
| Profit sum                  | 141.2          |
| Loss sum                    | -0.1955        |
| Fee sum                     | -3.822         |
| Volume quote                | 34943.0        |
+-----------------------------+----------------+
