+----------------------------------------------+
|                   Summary                    |
+-----------------------------+----------------+
| Metric                      | Value          |
+-----------------------------+----------------+
| Exchange                    | bybit          |
| Market type                 | futures        |
| Symbol                      | RUNEUSDT       |
| Passivbot mode              | recursive_grid |
| No. days                    | 910.0          |
| Starting balance            | 1000.0         |
|                             |                |
| Long                        | True           |
| ADG realized per exposure   | 0.347%         |
| Final balance               | 2570.88        |
| Final equity                | 2570.35        |
| Net PNL + fees              | 1570.88        |
| Total gain                  | 160.4%         |
| Average daily gain          | 0.104%         |
| Net PNL + fees              | 1570.88        |
| Loss to profit ratio        | 0.002776       |
| Price action distance mean  | 0.013322       |
| Price action distance std   | 0.0174224      |
| Price action distance max   | 0.456197       |
| Closest bankruptcy          | 100.0%         |
| Lowest equity/balance ratio | 0.9058         |
| Equity/balance ratio std    | 0.003242       |
| No. fills                   | 15006          |
| No. entries                 | 8964           |
| No. closes                  | 6042           |
| No. initial entries         | 5697           |
| No. reentries               | 3183           |
| No. unstuck/EMA entries     | 84             |
| No. unstuck/EMA closes      | 83             |
| No. normal closes           | 5959           |
| Average n fills per day     | 16.5           |
| Mean hours stuck            | 1.45093        |
| Max hours stuck             | 71.8333        |
| PNL sum                     | 1604.0         |
| Profit sum                  | 1608.0         |
| Loss sum                    | -4.465         |
| Fee sum                     | -32.79         |
| Volume quote                | 435385.0       |
|                             |                |
| Short                       | True           |
| ADG realized per exposure   | 0.0624%        |
| Final balance               | 1058.23        |
| Final equity                | 1058.23        |
| Net PNL + fees              | 58.2335        |
| Total gain                  | 6.051%         |
| Average daily gain          | 0.00624%       |
| Net PNL + fees              | 58.2335        |
| Loss to profit ratio        | 0.0            |
| Price action distance mean  | 0.025274       |
| Price action distance std   | 0.0290696      |
| Price action distance max   | 0.290142       |
| Closest bankruptcy          | 100.0%         |
| Lowest equity/balance ratio | 0.9685         |
| Equity/balance ratio std    | 0.0016         |
| No. fills                   | 9235           |
| No. entries                 | 4950           |
| No. closes                  | 4285           |
| No. initial entries         | 4239           |
| No. reentries               | 710            |
| No. unstuck/EMA entries     | 1              |
| No. unstuck/EMA closes      | 0              |
| No. normal closes           | 4285           |
| Average n fills per day     | 10.2           |
| Mean hours stuck            | 2.35475        |
| Max hours stuck             | 83.7333        |
| PNL sum                     | 60.51          |
| Profit sum                  | 60.51          |
| Loss sum                    | 0.0            |
| Fee sum                     | -2.278         |
| Volume quote                | 15924.7        |
+-----------------------------+----------------+
