+---------------------------------------------+
|                   Summary                   |
+--------------------------------+------------+
| Metric                         | Value      |
+--------------------------------+------------+
| Exchange                       | bybit      |
| Market type                    | futures    |
| Symbol                         | APTUSDT    |
| Passivbot mode                 | clock      |
| ADG n subdivisions             | 10         |
| No. days                       | 200.0      |
| Starting balance               | 1000.0     |
|                                |            |
| Long                           | True       |
| ADG per exposure               | 0.28%      |
| ADG weighted per exposure      | 0.318%     |
| Final balance                  | 1186.88    |
| Final equity                   | 1186.88    |
| Net PNL + fees                 | 186.883    |
| Net Total gain                 | 18.69%     |
| Average daily gain             | 0.0841%    |
| Average daily gain weighted    | 0.0953%    |
| Loss to profit ratio           | 0.1137     |
| Price action distance mean     | 0.00788911 |
| Price action distance std      | 0.00758946 |
| Price action distance max      | 0.071016   |
| Closest bankruptcy             | 100.0%     |
| Lowest equity/balance ratio    | 0.9801     |
| Mean of 10 worst eq/bal ratios | 0.983      |
| Equity/balance ratio std       | 0.001532   |
| No. fills                      | 1819       |
| No. entries                    | 1089       |
| No. closes                     | 730        |
| No. initial entries            | 0          |
| No. reentries                  | 0          |
| No. unstuck/EMA entries        | 1089       |
| No. unstuck/EMA closes         | 204        |
| No. normal closes              | 526        |
| Average n fills per day        | 8.92       |
| Mean hours stuck               | 2.68895    |
| Max hours stuck                | 37.7       |
| PNL sum                        | 190.5      |
| Profit sum                     | 214.9      |
| Loss sum                       | -24.43     |
| Fee sum                        | -3.57      |
| Volume quote                   | 73475.5    |
|                                |            |
| Short                          | True       |
| ADG per exposure               | 0.0918%    |
| ADG weighted per exposure      | 0.0193%    |
| Final balance                  | 1018.9     |
| Final equity                   | 1018.9     |
| Net PNL + fees                 | 18.8982    |
| Net Total gain                 | 1.89%      |
| Average daily gain             | 0.00918%   |
| Average daily gain weighted    | 0.00193%   |
| Loss to profit ratio           | 0.1495     |
| Price action distance mean     | 0.0103414  |
| Price action distance std      | 0.00938355 |
| Price action distance max      | 0.0595676  |
| Closest bankruptcy             | 100.0%     |
| Lowest equity/balance ratio    | 0.9955     |
| Mean of 10 worst eq/bal ratios | 0.9986     |
| Equity/balance ratio std       | 7.181e-05  |
| No. fills                      | 1690       |
| No. entries                    | 896        |
| No. closes                     | 794        |
| No. initial entries            | 0          |
| No. reentries                  | 0          |
| No. unstuck/EMA entries        | 896        |
| No. unstuck/EMA closes         | 686        |
| No. normal closes              | 108        |
| Average n fills per day        | 8.29       |
| Mean hours stuck               | 2.89546    |
| Max hours stuck                | 136.95     |
| PNL sum                        | 19.34      |
| Profit sum                     | 22.74      |
| Loss sum                       | -3.399     |
| Fee sum                        | -0.439     |
| Volume quote                   | 5325.1     |
+--------------------------------+------------+
