+--------------------------------------------+
|                  Summary                   |
+--------------------------------+-----------+
| Metric                         | Value     |
+--------------------------------+-----------+
| Exchange                       | bybit     |
| Market type                    | futures   |
| Symbol                         | OPUSDT    |
| Passivbot mode                 | clock     |
| ADG n subdivisions             | 10        |
| No. days                       | 340.0     |
| Starting balance               | 1000.0    |
|                                |           |
| Long                           | True      |
| ADG per exposure               | 0.537%    |
| ADG weighted per exposure      | 0.358%    |
| Final balance                  | 1738.28   |
| Final equity                   | 1738.28   |
| Net PNL + fees                 | 738.277   |
| Net Total gain                 | 73.83%    |
| Average daily gain             | 0.161%    |
| Average daily gain weighted    | 0.107%    |
| Loss to profit ratio           | 0.1112    |
| Price action distance mean     | 0.01157   |
| Price action distance std      | 0.0199251 |
| Price action distance max      | 0.262663  |
| Closest bankruptcy             | 100.0%    |
| Lowest equity/balance ratio    | 0.9376    |
| Mean of 10 worst eq/bal ratios | 0.9483    |
| Equity/balance ratio std       | 0.003724  |
| No. fills                      | 6012      |
| No. entries                    | 2929      |
| No. closes                     | 3083      |
| No. initial entries            | 0         |
| No. reentries                  | 0         |
| No. unstuck/EMA entries        | 2929      |
| No. unstuck/EMA closes         | 2547      |
| No. normal closes              | 536       |
| Average n fills per day        | 17.5      |
| Mean hours stuck               | 1.37032   |
| Max hours stuck                | 48.1833   |
| PNL sum                        | 749.7     |
| Profit sum                     | 843.5     |
| Loss sum                       | -93.8     |
| Fee sum                        | -11.38    |
| Volume quote                   | 363910.0  |
|                                |           |
| Short                          | True      |
| ADG per exposure               | 0.125%    |
| ADG weighted per exposure      | 0.0725%   |
| Final balance                  | 1044.04   |
| Final equity                   | 1044.04   |
| Net PNL + fees                 | 44.0353   |
| Net Total gain                 | 4.404%    |
| Average daily gain             | 0.0125%   |
| Average daily gain weighted    | 0.00725%  |
| Loss to profit ratio           | 0.09313   |
| Price action distance mean     | 0.0140945 |
| Price action distance std      | 0.0130096 |
| Price action distance max      | 0.0928945 |
| Closest bankruptcy             | 100.0%    |
| Lowest equity/balance ratio    | 0.991     |
| Mean of 10 worst eq/bal ratios | 0.9933    |
| Equity/balance ratio std       | 0.0004428 |
| No. fills                      | 2329      |
| No. entries                    | 1298      |
| No. closes                     | 1031      |
| No. initial entries            | 0         |
| No. reentries                  | 0         |
| No. unstuck/EMA entries        | 1298      |
| No. unstuck/EMA closes         | 700       |
| No. normal closes              | 331       |
| Average n fills per day        | 6.78      |
| Mean hours stuck               | 3.53793   |
| Max hours stuck                | 75.45     |
| PNL sum                        | 44.7      |
| Profit sum                     | 49.29     |
| Loss sum                       | -4.591    |
| Fee sum                        | -0.6661   |
| Volume quote                   | 14979.8   |
+--------------------------------+-----------+
