+--------------------------------------------+
|                  Summary                   |
+--------------------------------+-----------+
| Metric                         | Value     |
+--------------------------------+-----------+
| Exchange                       | bybit     |
| Market type                    | futures   |
| Symbol                         | ALGOUSDT  |
| Passivbot mode                 | clock     |
| ADG n subdivisions             | 10        |
| No. days                       | 1100.0    |
| Starting balance               | 1000.0    |
|                                |           |
| Long                           | True      |
| ADG per exposure               | 0.25%     |
| ADG weighted per exposure      | 0.154%    |
| Final balance                  | 1697.64   |
| Final equity                   | 1697.62   |
| Net PNL + fees                 | 697.644   |
| Net Total gain                 | 69.76%    |
| Average daily gain             | 0.05%     |
| Average daily gain weighted    | 0.0309%   |
| Loss to profit ratio           | 0.04554   |
| Price action distance mean     | 0.0147327 |
| Price action distance std      | 0.0176562 |
| Price action distance max      | 0.47151   |
| Closest bankruptcy             | 100.0%    |
| Lowest equity/balance ratio    | 0.9359    |
| Mean of 10 worst eq/bal ratios | 0.9448    |
| Equity/balance ratio std       | 0.002602  |
| No. fills                      | 13339     |
| No. entries                    | 5154      |
| No. closes                     | 8185      |
| No. initial entries            | 0         |
| No. reentries                  | 0         |
| No. unstuck/EMA entries        | 5154      |
| No. unstuck/EMA closes         | 7731      |
| No. normal closes              | 454       |
| Average n fills per day        | 12.6      |
| Mean hours stuck               | 1.90461   |
| Max hours stuck                | 27.5333   |
| PNL sum                        | 704.6     |
| Profit sum                     | 738.2     |
| Loss sum                       | -33.62    |
| Fee sum                        | -6.968    |
| Volume quote                   | 331845.0  |
|                                |           |
| Short                          | True      |
| ADG per exposure               | 0.23%     |
| ADG weighted per exposure      | 0.161%    |
| Final balance                  | 1275.29   |
| Final equity                   | 1275.27   |
| Net PNL + fees                 | 275.285   |
| Net Total gain                 | 27.53%    |
| Average daily gain             | 0.023%    |
| Average daily gain weighted    | 0.0161%   |
| Loss to profit ratio           | 0.1442    |
| Price action distance mean     | 0.0112332 |
| Price action distance std      | 0.0112267 |
| Price action distance max      | 0.166085  |
| Closest bankruptcy             | 100.0%    |
| Lowest equity/balance ratio    | 0.9801    |
| Mean of 10 worst eq/bal ratios | 0.9835    |
| Equity/balance ratio std       | 0.0009508 |
| No. fills                      | 9491      |
| No. entries                    | 6396      |
| No. closes                     | 3095      |
| No. initial entries            | 0         |
| No. reentries                  | 0         |
| No. unstuck/EMA entries        | 6396      |
| No. unstuck/EMA closes         | 1006      |
| No. normal closes              | 2089      |
| Average n fills per day        | 8.97      |
| Mean hours stuck               | 2.67711   |
| Max hours stuck                | 56.0333   |
| PNL sum                        | 279.4     |
| Profit sum                     | 326.5     |
| Loss sum                       | -47.06    |
| Fee sum                        | -4.133    |
| Volume quote                   | 131677.0  |
+--------------------------------+-----------+
