+--------------------------------------------+
|                  Summary                   |
+--------------------------------+-----------+
| Metric                         | Value     |
+--------------------------------+-----------+
| Exchange                       | bybit     |
| Market type                    | futures   |
| Symbol                         | ARUSDT    |
| Passivbot mode                 | clock     |
| ADG n subdivisions             | 10        |
| No. days                       | 590.0     |
| Starting balance               | 1000.0    |
|                                |           |
| Long                           | True      |
| ADG per exposure               | 0.258%    |
| ADG weighted per exposure      | 0.172%    |
| Final balance                  | 1354.88   |
| Final equity                   | 1354.88   |
| Net PNL + fees                 | 354.883   |
| Net Total gain                 | 35.49%    |
| Average daily gain             | 0.0515%   |
| Average daily gain weighted    | 0.0344%   |
| Loss to profit ratio           | 0.1277    |
| Price action distance mean     | 0.0104738 |
| Price action distance std      | 0.011403  |
| Price action distance max      | 0.189862  |
| Closest bankruptcy             | 100.0%    |
| Lowest equity/balance ratio    | 0.9681    |
| Mean of 10 worst eq/bal ratios | 0.9737    |
| Equity/balance ratio std       | 0.001298  |
| No. fills                      | 4896      |
| No. entries                    | 2798      |
| No. closes                     | 2098      |
| No. initial entries            | 0         |
| No. reentries                  | 0         |
| No. unstuck/EMA entries        | 2798      |
| No. unstuck/EMA closes         | 1819      |
| No. normal closes              | 279       |
| Average n fills per day        | 8.3       |
| Mean hours stuck               | 2.89073   |
| Max hours stuck                | 61.3667   |
| PNL sum                        | 360.6     |
| Profit sum                     | 413.4     |
| Loss sum                       | -52.78    |
| Fee sum                        | -5.757    |
| Volume quote                   | 96875.4   |
|                                |           |
| Short                          | True      |
| ADG per exposure               | 0.138%    |
| ADG weighted per exposure      | 0.0891%   |
| Final balance                  | 1084.59   |
| Final equity                   | 1084.53   |
| Net PNL + fees                 | 84.5884   |
| Net Total gain                 | 8.459%    |
| Average daily gain             | 0.0138%   |
| Average daily gain weighted    | 0.00891%  |
| Loss to profit ratio           | 0.105     |
| Price action distance mean     | 0.0189455 |
| Price action distance std      | 0.0199285 |
| Price action distance max      | 0.212032  |
| Closest bankruptcy             | 100.0%    |
| Lowest equity/balance ratio    | 0.9726    |
| Mean of 10 worst eq/bal ratios | 0.9782    |
| Equity/balance ratio std       | 0.001161  |
| No. fills                      | 7460      |
| No. entries                    | 4030      |
| No. closes                     | 3430      |
| No. initial entries            | 0         |
| No. reentries                  | 0         |
| No. unstuck/EMA entries        | 4030      |
| No. unstuck/EMA closes         | 580       |
| No. normal closes              | 2850      |
| Average n fills per day        | 12.6      |
| Mean hours stuck               | 1.89702   |
| Max hours stuck                | 37.9833   |
| PNL sum                        | 87.51     |
| Profit sum                     | 97.78     |
| Loss sum                       | -10.27    |
| Fee sum                        | -2.921    |
| Volume quote                   | 32759.4   |
+--------------------------------+-----------+
