+--------------------------------------------+
|                  Summary                   |
+--------------------------------+-----------+
| Metric                         | Value     |
+--------------------------------+-----------+
| Exchange                       | bybit     |
| Market type                    | futures   |
| Symbol                         | LINKUSDT  |
| Passivbot mode                 | clock     |
| ADG n subdivisions             | 10        |
| No. days                       | 1200.0    |
| Starting balance               | 1000.0    |
|                                |           |
| Long                           | True      |
| ADG per exposure               | 0.155%    |
| ADG weighted per exposure      | 0.075%    |
| Final balance                  | 1456.36   |
| Final equity                   | 1456.36   |
| Net PNL + fees                 | 456.356   |
| Net Total gain                 | 45.64%    |
| Average daily gain             | 0.0311%   |
| Average daily gain weighted    | 0.015%    |
| Loss to profit ratio           | 0.05053   |
| Price action distance mean     | 0.0116549 |
| Price action distance std      | 0.0181119 |
| Price action distance max      | 0.299127  |
| Closest bankruptcy             | 100.0%    |
| Lowest equity/balance ratio    | 0.9541    |
| Mean of 10 worst eq/bal ratios | 0.9623    |
| Equity/balance ratio std       | 0.002495  |
| No. fills                      | 12965     |
| No. entries                    | 8027      |
| No. closes                     | 4938      |
| No. initial entries            | 0         |
| No. reentries                  | 0         |
| No. unstuck/EMA entries        | 8027      |
| No. unstuck/EMA closes         | 1023      |
| No. normal closes              | 3915      |
| Average n fills per day        | 10.7      |
| Mean hours stuck               | 2.23873   |
| Max hours stuck                | 75.85     |
| PNL sum                        | 466.3     |
| Profit sum                     | 491.1     |
| Loss sum                       | -24.81    |
| Fee sum                        | -9.918    |
| Volume quote                   | 181377.0  |
|                                |           |
| Short                          | True      |
| ADG per exposure               | 0.18%     |
| ADG weighted per exposure      | 0.102%    |
| Final balance                  | 1242.74   |
| Final equity                   | 1242.73   |
| Net PNL + fees                 | 242.745   |
| Net Total gain                 | 24.27%    |
| Average daily gain             | 0.018%    |
| Average daily gain weighted    | 0.0102%   |
| Loss to profit ratio           | 0.04525   |
| Price action distance mean     | 0.0168308 |
| Price action distance std      | 0.019458  |
| Price action distance max      | 0.284161  |
| Closest bankruptcy             | 100.0%    |
| Lowest equity/balance ratio    | 0.9603    |
| Mean of 10 worst eq/bal ratios | 0.9641    |
| Equity/balance ratio std       | 0.00188   |
| No. fills                      | 6550      |
| No. entries                    | 3720      |
| No. closes                     | 2830      |
| No. initial entries            | 0         |
| No. reentries                  | 0         |
| No. unstuck/EMA entries        | 3720      |
| No. unstuck/EMA closes         | 2391      |
| No. normal closes              | 439       |
| Average n fills per day        | 5.41      |
| Mean hours stuck               | 4.43228   |
| Max hours stuck                | 59.45     |
| PNL sum                        | 245.2     |
| Profit sum                     | 256.8     |
| Loss sum                       | -11.62    |
| Fee sum                        | -2.417    |
| Volume quote                   | 96634.1   |
+--------------------------------+-----------+
