+--------------------------------------------+
|                  Summary                   |
+--------------------------------+-----------+
| Metric                         | Value     |
+--------------------------------+-----------+
| Exchange                       | bybit     |
| Market type                    | futures   |
| Symbol                         | MANAUSDT  |
| Passivbot mode                 | clock     |
| ADG n subdivisions             | 10        |
| No. days                       | 790.0     |
| Starting balance               | 1000.0    |
|                                |           |
| Long                           | True      |
| ADG per exposure               | 0.177%    |
| ADG weighted per exposure      | 0.0816%   |
| Final balance                  | 1320.88   |
| Final equity                   | 1320.88   |
| Net PNL + fees                 | 320.885   |
| Net Total gain                 | 32.09%    |
| Average daily gain             | 0.0354%   |
| Average daily gain weighted    | 0.0163%   |
| Loss to profit ratio           | 0.1104    |
| Price action distance mean     | 0.0145139 |
| Price action distance std      | 0.0187095 |
| Price action distance max      | 0.598854  |
| Closest bankruptcy             | 100.0%    |
| Lowest equity/balance ratio    | 0.9244    |
| Mean of 10 worst eq/bal ratios | 0.9546    |
| Equity/balance ratio std       | 0.002407  |
| No. fills                      | 7066      |
| No. entries                    | 3777      |
| No. closes                     | 3289      |
| No. initial entries            | 0         |
| No. reentries                  | 0         |
| No. unstuck/EMA entries        | 3777      |
| No. unstuck/EMA closes         | 3133      |
| No. normal closes              | 156       |
| Average n fills per day        | 8.98      |
| Mean hours stuck               | 2.67191   |
| Max hours stuck                | 76.9      |
| PNL sum                        | 324.5     |
| Profit sum                     | 364.7     |
| Loss sum                       | -40.27    |
| Fee sum                        | -3.565    |
| Volume quote                   | 147947.0  |
|                                |           |
| Short                          | True      |
| ADG per exposure               | 0.184%    |
| ADG weighted per exposure      | 0.137%    |
| Final balance                  | 1155.97   |
| Final equity                   | 1155.92   |
| Net PNL + fees                 | 155.974   |
| Net Total gain                 | 15.6%     |
| Average daily gain             | 0.0184%   |
| Average daily gain weighted    | 0.0137%   |
| Loss to profit ratio           | 0.01652   |
| Price action distance mean     | 0.0144153 |
| Price action distance std      | 0.0187985 |
| Price action distance max      | 0.169179  |
| Closest bankruptcy             | 100.0%    |
| Lowest equity/balance ratio    | 0.9577    |
| Mean of 10 worst eq/bal ratios | 0.9808    |
| Equity/balance ratio std       | 0.002103  |
| No. fills                      | 16539     |
| No. entries                    | 9915      |
| No. closes                     | 6624      |
| No. initial entries            | 0         |
| No. reentries                  | 0         |
| No. unstuck/EMA entries        | 9915      |
| No. unstuck/EMA closes         | 973       |
| No. normal closes              | 5651      |
| Average n fills per day        | 21.0      |
| Mean hours stuck               | 1.14147   |
| Max hours stuck                | 50.4833   |
| PNL sum                        | 160.0     |
| Profit sum                     | 162.6     |
| Loss sum                       | -2.687    |
| Fee sum                        | -3.986    |
| Volume quote                   | 64471.6   |
+--------------------------------+-----------+
