+--------------------------------------------+
|                  Summary                   |
+--------------------------------+-----------+
| Metric                         | Value     |
+--------------------------------+-----------+
| Exchange                       | bybit     |
| Market type                    | futures   |
| Symbol                         | MATICUSDT |
| Passivbot mode                 | clock     |
| ADG n subdivisions             | 10        |
| No. days                       | 930.0     |
| Starting balance               | 1000.0    |
|                                |           |
| Long                           | True      |
| ADG per exposure               | 0.331%    |
| ADG weighted per exposure      | 0.153%    |
| Final balance                  | 1851.27   |
| Final equity                   | 1851.26   |
| Net PNL + fees                 | 851.267   |
| Net Total gain                 | 85.13%    |
| Average daily gain             | 0.0662%   |
| Average daily gain weighted    | 0.0306%   |
| Loss to profit ratio           | 0.1452    |
| Price action distance mean     | 0.0123931 |
| Price action distance std      | 0.0155969 |
| Price action distance max      | 0.286983  |
| Closest bankruptcy             | 100.0%    |
| Lowest equity/balance ratio    | 0.9554    |
| Mean of 10 worst eq/bal ratios | 0.959     |
| Equity/balance ratio std       | 0.002251  |
| No. fills                      | 9939      |
| No. entries                    | 5038      |
| No. closes                     | 4901      |
| No. initial entries            | 0         |
| No. reentries                  | 0         |
| No. unstuck/EMA entries        | 5038      |
| No. unstuck/EMA closes         | 4706      |
| No. normal closes              | 195       |
| Average n fills per day        | 10.7      |
| Mean hours stuck               | 2.24714   |
| Max hours stuck                | 48.1667   |
| PNL sum                        | 862.3     |
| Profit sum                     | 1009.0    |
| Loss sum                       | -146.5    |
| Fee sum                        | -11.02    |
| Volume quote                   | 156718.0  |
|                                |           |
| Short                          | True      |
| ADG per exposure               | 0.183%    |
| ADG weighted per exposure      | 0.186%    |
| Final balance                  | 1185.74   |
| Final equity                   | 1185.74   |
| Net PNL + fees                 | 185.745   |
| Net Total gain                 | 18.57%    |
| Average daily gain             | 0.0183%   |
| Average daily gain weighted    | 0.0186%   |
| Loss to profit ratio           | 0.04115   |
| Price action distance mean     | 0.0153282 |
| Price action distance std      | 0.0193548 |
| Price action distance max      | 0.176079  |
| Closest bankruptcy             | 100.0%    |
| Lowest equity/balance ratio    | 0.9785    |
| Mean of 10 worst eq/bal ratios | 0.9791    |
| Equity/balance ratio std       | 0.001612  |
| No. fills                      | 10975     |
| No. entries                    | 6279      |
| No. closes                     | 4696      |
| No. initial entries            | 0         |
| No. reentries                  | 0         |
| No. unstuck/EMA entries        | 6279      |
| No. unstuck/EMA closes         | 968       |
| No. normal closes              | 3728      |
| Average n fills per day        | 11.8      |
| Mean hours stuck               | 2.03543   |
| Max hours stuck                | 50.8833   |
| PNL sum                        | 189.9     |
| Profit sum                     | 198.1     |
| Loss sum                       | -8.151    |
| Fee sum                        | -4.173    |
| Volume quote                   | 79551.8   |
+--------------------------------+-----------+
