+---------------------------------------------+
|                   Summary                   |
+--------------------------------+------------+
| Metric                         | Value      |
+--------------------------------+------------+
| Exchange                       | bybit      |
| Market type                    | futures    |
| Symbol                         | SKLUSDT    |
| Passivbot mode                 | clock      |
| ADG n subdivisions             | 10         |
| No. days                       | 880.0      |
| Starting balance               | 1000.0     |
|                                |            |
| Long                           | True       |
| ADG per exposure               | 0.206%     |
| ADG weighted per exposure      | 0.135%     |
| Final balance                  | 1439.81    |
| Final equity                   | 1439.81    |
| Net PNL + fees                 | 439.814    |
| Net Total gain                 | 43.98%     |
| Average daily gain             | 0.0413%    |
| Average daily gain weighted    | 0.0269%    |
| Loss to profit ratio           | 0.1472     |
| Price action distance mean     | 0.00990862 |
| Price action distance std      | 0.0103739  |
| Price action distance max      | 0.285838   |
| Closest bankruptcy             | 100.0%     |
| Lowest equity/balance ratio    | 0.9556     |
| Mean of 10 worst eq/bal ratios | 0.9768     |
| Equity/balance ratio std       | 0.001108   |
| No. fills                      | 11683      |
| No. entries                    | 6290       |
| No. closes                     | 5393       |
| No. initial entries            | 0          |
| No. reentries                  | 0          |
| No. unstuck/EMA entries        | 6290       |
| No. unstuck/EMA closes         | 1593       |
| No. normal closes              | 3800       |
| Average n fills per day        | 13.2       |
| Mean hours stuck               | 1.81505    |
| Max hours stuck                | 46.6667    |
| PNL sum                        | 449.7      |
| Profit sum                     | 527.3      |
| Loss sum                       | -77.61     |
| Fee sum                        | -9.912     |
| Volume quote                   | 205620.0   |
|                                |            |
| Short                          | True       |
| ADG per exposure               | 0.309%     |
| ADG weighted per exposure      | 0.27%      |
| Final balance                  | 1313.79    |
| Final equity                   | 1313.77    |
| Net PNL + fees                 | 313.788    |
| Net Total gain                 | 31.38%     |
| Average daily gain             | 0.0309%    |
| Average daily gain weighted    | 0.027%     |
| Loss to profit ratio           | 0.1289     |
| Price action distance mean     | 0.0140147  |
| Price action distance std      | 0.0176668  |
| Price action distance max      | 0.277563   |
| Closest bankruptcy             | 100.0%     |
| Lowest equity/balance ratio    | 0.9616     |
| Mean of 10 worst eq/bal ratios | 0.968      |
| Equity/balance ratio std       | 0.001773   |
| No. fills                      | 7832       |
| No. entries                    | 4201       |
| No. closes                     | 3631       |
| No. initial entries            | 0          |
| No. reentries                  | 0          |
| No. unstuck/EMA entries        | 4201       |
| No. unstuck/EMA closes         | 3277       |
| No. normal closes              | 354        |
| Average n fills per day        | 8.86       |
| Mean hours stuck               | 2.70814    |
| Max hours stuck                | 46.3       |
| PNL sum                        | 317.5      |
| Profit sum                     | 364.4      |
| Loss sum                       | -46.99     |
| Fee sum                        | -3.666     |
| Volume quote                   | 65461.3    |
+--------------------------------+------------+
