+--------------------------------------------+
|                  Summary                   |
+--------------------------------+-----------+
| Metric                         | Value     |
+--------------------------------+-----------+
| Exchange                       | bybit     |
| Market type                    | futures   |
| Symbol                         | UNIUSDT   |
| Passivbot mode                 | clock     |
| ADG n subdivisions             | 10        |
| No. days                       | 960.0     |
| Starting balance               | 1000.0    |
|                                |           |
| Long                           | True      |
| ADG per exposure               | 0.189%    |
| ADG weighted per exposure      | 0.136%    |
| Final balance                  | 1438.62   |
| Final equity                   | 1438.67   |
| Net PNL + fees                 | 438.618   |
| Net Total gain                 | 43.86%    |
| Average daily gain             | 0.0377%   |
| Average daily gain weighted    | 0.0272%   |
| Loss to profit ratio           | 0.08514   |
| Price action distance mean     | 0.0179322 |
| Price action distance std      | 0.0199202 |
| Price action distance max      | 0.27788   |
| Closest bankruptcy             | 100.0%    |
| Lowest equity/balance ratio    | 0.9565    |
| Mean of 10 worst eq/bal ratios | 0.9621    |
| Equity/balance ratio std       | 0.002751  |
| No. fills                      | 6665      |
| No. entries                    | 2682      |
| No. closes                     | 3983      |
| No. initial entries            | 0         |
| No. reentries                  | 0         |
| No. unstuck/EMA entries        | 2682      |
| No. unstuck/EMA closes         | 3660      |
| No. normal closes              | 323       |
| Average n fills per day        | 6.91      |
| Mean hours stuck               | 3.47394   |
| Max hours stuck                | 47.6333   |
| PNL sum                        | 442.6     |
| Profit sum                     | 483.8     |
| Loss sum                       | -41.19    |
| Fee sum                        | -4.005    |
| Volume quote                   | 201806.0  |
|                                |           |
| Short                          | True      |
| ADG per exposure               | 0.163%    |
| ADG weighted per exposure      | 0.168%    |
| Final balance                  | 1170.11   |
| Final equity                   | 1170.09   |
| Net PNL + fees                 | 170.109   |
| Net Total gain                 | 17.01%    |
| Average daily gain             | 0.0163%   |
| Average daily gain weighted    | 0.0168%   |
| Loss to profit ratio           | 0.1097    |
| Price action distance mean     | 0.0177565 |
| Price action distance std      | 0.0189244 |
| Price action distance max      | 0.179599  |
| Closest bankruptcy             | 100.0%    |
| Lowest equity/balance ratio    | 0.9778    |
| Mean of 10 worst eq/bal ratios | 0.9808    |
| Equity/balance ratio std       | 0.001542  |
| No. fills                      | 5689      |
| No. entries                    | 2723      |
| No. closes                     | 2966      |
| No. initial entries            | 0         |
| No. reentries                  | 0         |
| No. unstuck/EMA entries        | 2723      |
| No. unstuck/EMA closes         | 752       |
| No. normal closes              | 2214      |
| Average n fills per day        | 5.9       |
| Mean hours stuck               | 4.06949   |
| Max hours stuck                | 51.7167   |
| PNL sum                        | 172.7     |
| Profit sum                     | 194.0     |
| Loss sum                       | -21.29    |
| Fee sum                        | -2.622    |
| Volume quote                   | 95593.8   |
+--------------------------------+-----------+
