+--------------------------------------------+
|                  Summary                   |
+--------------------------------+-----------+
| Metric                         | Value     |
+--------------------------------+-----------+
| Exchange                       | bybit     |
| Market type                    | futures   |
| Symbol                         | ALGOUSDT  |
| Passivbot mode                 | clock     |
| ADG n subdivisions             | 10        |
| No. days                       | 1100.0    |
| Starting balance               | 1000.0    |
|                                |           |
| Long                           | True      |
| ADG per exposure               | 0.248%    |
| ADG weighted per exposure      | 0.125%    |
| Final balance                  | 1689.01   |
| Final equity                   | 1689.01   |
| Net PNL + fees                 | 689.011   |
| Net Total gain                 | 68.9%     |
| Average daily gain             | 0.0495%   |
| Average daily gain weighted    | 0.0251%   |
| Loss to profit ratio           | 0.1316    |
| Price action distance mean     | 0.011319  |
| Price action distance std      | 0.0192013 |
| Price action distance max      | 0.348981  |
| Closest bankruptcy             | 100.0%    |
| Lowest equity/balance ratio    | 0.9483    |
| Mean of 10 worst eq/bal ratios | 0.9597    |
| Equity/balance ratio std       | 0.002432  |
| No. fills                      | 13549     |
| No. entries                    | 6928      |
| No. closes                     | 6621      |
| No. initial entries            | 0         |
| No. reentries                  | 0         |
| No. unstuck/EMA entries        | 6928      |
| No. unstuck/EMA closes         | 5830      |
| No. normal closes              | 791       |
| Average n fills per day        | 12.8      |
| Mean hours stuck               | 1.87457   |
| Max hours stuck                | 68.2167   |
| PNL sum                        | 699.5     |
| Profit sum                     | 805.5     |
| Loss sum                       | -106.0    |
| Fee sum                        | -10.48    |
| Volume quote                   | 364475.0  |
|                                |           |
| Short                          | True      |
| ADG per exposure               | 0.266%    |
| ADG weighted per exposure      | 0.174%    |
| Final balance                  | 1325.73   |
| Final equity                   | 1325.73   |
| Net PNL + fees                 | 325.733   |
| Net Total gain                 | 32.57%    |
| Average daily gain             | 0.0266%   |
| Average daily gain weighted    | 0.0174%   |
| Loss to profit ratio           | 0.05426   |
| Price action distance mean     | 0.0150536 |
| Price action distance std      | 0.0186314 |
| Price action distance max      | 0.165219  |
| Closest bankruptcy             | 100.0%    |
| Lowest equity/balance ratio    | 0.9802    |
| Mean of 10 worst eq/bal ratios | 0.9822    |
| Equity/balance ratio std       | 0.001709  |
| No. fills                      | 9173      |
| No. entries                    | 6266      |
| No. closes                     | 2907      |
| No. initial entries            | 0         |
| No. reentries                  | 0         |
| No. unstuck/EMA entries        | 6266      |
| No. unstuck/EMA closes         | 2020      |
| No. normal closes              | 887       |
| Average n fills per day        | 8.67      |
| Mean hours stuck               | 2.76965   |
| Max hours stuck                | 89.4167   |
| PNL sum                        | 329.1     |
| Profit sum                     | 347.9     |
| Loss sum                       | -18.88    |
| Fee sum                        | -3.329    |
| Volume quote                   | 176347.0  |
+--------------------------------+-----------+
