+--------------------------------------------+
|                  Summary                   |
+--------------------------------+-----------+
| Metric                         | Value     |
+--------------------------------+-----------+
| Exchange                       | bybit     |
| Market type                    | futures   |
| Symbol                         | ALPHAUSDT |
| Passivbot mode                 | clock     |
| ADG n subdivisions             | 10        |
| No. days                       | 900.0     |
| Starting balance               | 1000.0    |
|                                |           |
| Long                           | True      |
| ADG per exposure               | 0.249%    |
| ADG weighted per exposure      | 0.147%    |
| Final balance                  | 1563.32   |
| Final equity                   | 1563.32   |
| Net PNL + fees                 | 563.32    |
| Net Total gain                 | 56.33%    |
| Average daily gain             | 0.0497%   |
| Average daily gain weighted    | 0.0294%   |
| Loss to profit ratio           | 0.09183   |
| Price action distance mean     | 0.0131899 |
| Price action distance std      | 0.0190569 |
| Price action distance max      | 0.401735  |
| Closest bankruptcy             | 100.0%    |
| Lowest equity/balance ratio    | 0.9426    |
| Mean of 10 worst eq/bal ratios | 0.9521    |
| Equity/balance ratio std       | 0.001979  |
| No. fills                      | 12590     |
| No. entries                    | 5326      |
| No. closes                     | 7264      |
| No. initial entries            | 0         |
| No. reentries                  | 0         |
| No. unstuck/EMA entries        | 5326      |
| No. unstuck/EMA closes         | 6778      |
| No. normal closes              | 486       |
| Average n fills per day        | 14.0      |
| Mean hours stuck               | 1.71286   |
| Max hours stuck                | 68.3167   |
| PNL sum                        | 572.0     |
| Profit sum                     | 629.9     |
| Loss sum                       | -57.84    |
| Fee sum                        | -8.71     |
| Volume quote                   | 246677.0  |
|                                |           |
| Short                          | True      |
| ADG per exposure               | 0.199%    |
| ADG weighted per exposure      | 0.194%    |
| Final balance                  | 1195.94   |
| Final equity                   | 1195.86   |
| Net PNL + fees                 | 195.938   |
| Net Total gain                 | 19.59%    |
| Average daily gain             | 0.0199%   |
| Average daily gain weighted    | 0.0194%   |
| Loss to profit ratio           | 0.1356    |
| Price action distance mean     | 0.0175389 |
| Price action distance std      | 0.0194779 |
| Price action distance max      | 0.264747  |
| Closest bankruptcy             | 100.0%    |
| Lowest equity/balance ratio    | 0.9642    |
| Mean of 10 worst eq/bal ratios | 0.9759    |
| Equity/balance ratio std       | 0.001709  |
| No. fills                      | 10599     |
| No. entries                    | 5019      |
| No. closes                     | 5580      |
| No. initial entries            | 0         |
| No. reentries                  | 0         |
| No. unstuck/EMA entries        | 5019      |
| No. unstuck/EMA closes         | 5199      |
| No. normal closes              | 381       |
| Average n fills per day        | 11.8      |
| Mean hours stuck               | 2.03503   |
| Max hours stuck                | 30.4      |
| PNL sum                        | 198.8     |
| Profit sum                     | 229.9     |
| Loss sum                       | -31.17    |
| Fee sum                        | -2.822    |
| Volume quote                   | 124943.0  |
+--------------------------------+-----------+
