+--------------------------------------------+
|                  Summary                   |
+--------------------------------+-----------+
| Metric                         | Value     |
+--------------------------------+-----------+
| Exchange                       | bybit     |
| Market type                    | futures   |
| Symbol                         | APEUSDT   |
| Passivbot mode                 | clock     |
| ADG n subdivisions             | 10        |
| No. days                       | 420.0     |
| Starting balance               | 1000.0    |
|                                |           |
| Long                           | True      |
| ADG per exposure               | 0.3%      |
| ADG weighted per exposure      | 0.205%    |
| Final balance                  | 1286.29   |
| Final equity                   | 1286.25   |
| Net PNL + fees                 | 286.294   |
| Net Total gain                 | 28.63%    |
| Average daily gain             | 0.0601%   |
| Average daily gain weighted    | 0.0409%   |
| Loss to profit ratio           | 0.04424   |
| Price action distance mean     | 0.0121095 |
| Price action distance std      | 0.012687  |
| Price action distance max      | 0.181733  |
| Closest bankruptcy             | 100.0%    |
| Lowest equity/balance ratio    | 0.9693    |
| Mean of 10 worst eq/bal ratios | 0.9727    |
| Equity/balance ratio std       | 0.00197   |
| No. fills                      | 10335     |
| No. entries                    | 4356      |
| No. closes                     | 5979      |
| No. initial entries            | 0         |
| No. reentries                  | 0         |
| No. unstuck/EMA entries        | 4356      |
| No. unstuck/EMA closes         | 5256      |
| No. normal closes              | 723       |
| Average n fills per day        | 24.6      |
| Mean hours stuck               | 0.973647  |
| Max hours stuck                | 10.2833   |
| PNL sum                        | 292.2     |
| Profit sum                     | 305.7     |
| Loss sum                       | -13.53    |
| Fee sum                        | -5.899    |
| Volume quote                   | 192437.0  |
|                                |           |
| Short                          | True      |
| ADG per exposure               | 0.363%    |
| ADG weighted per exposure      | 0.249%    |
| Final balance                  | 1164.3    |
| Final equity                   | 1164.29   |
| Net PNL + fees                 | 164.297   |
| Net Total gain                 | 16.43%    |
| Average daily gain             | 0.0363%   |
| Average daily gain weighted    | 0.0249%   |
| Loss to profit ratio           | 0.1426    |
| Price action distance mean     | 0.0106482 |
| Price action distance std      | 0.0143175 |
| Price action distance max      | 0.237055  |
| Closest bankruptcy             | 100.0%    |
| Lowest equity/balance ratio    | 0.9689    |
| Mean of 10 worst eq/bal ratios | 0.9771    |
| Equity/balance ratio std       | 0.001556  |
| No. fills                      | 14057     |
| No. entries                    | 5403      |
| No. closes                     | 8654      |
| No. initial entries            | 0         |
| No. reentries                  | 0         |
| No. unstuck/EMA entries        | 5403      |
| No. unstuck/EMA closes         | 7872      |
| No. normal closes              | 782       |
| Average n fills per day        | 33.5      |
| Mean hours stuck               | 0.71595   |
| Max hours stuck                | 5.45      |
| PNL sum                        | 168.5     |
| Profit sum                     | 196.5     |
| Loss sum                       | -28.02    |
| Fee sum                        | -4.17     |
| Volume quote                   | 150942.0  |
+--------------------------------+-----------+
