+---------------------------------------------+
|                   Summary                   |
+--------------------------------+------------+
| Metric                         | Value      |
+--------------------------------+------------+
| Exchange                       | bybit      |
| Market type                    | futures    |
| Symbol                         | CHZUSDT    |
| Passivbot mode                 | clock      |
| ADG n subdivisions             | 10         |
| No. days                       | 840.0      |
| Starting balance               | 1000.0     |
|                                |            |
| Long                           | True       |
| ADG per exposure               | 0.346%     |
| ADG weighted per exposure      | 0.154%     |
| Final balance                  | 1786.24    |
| Final equity                   | 1786.24    |
| Net PNL + fees                 | 786.244    |
| Net Total gain                 | 78.62%     |
| Average daily gain             | 0.0691%    |
| Average daily gain weighted    | 0.0307%    |
| Loss to profit ratio           | 0.1024     |
| Price action distance mean     | 0.00941712 |
| Price action distance std      | 0.0193934  |
| Price action distance max      | 0.995333   |
| Closest bankruptcy             | 100.0%     |
| Lowest equity/balance ratio    | 0.9003     |
| Mean of 10 worst eq/bal ratios | 0.958      |
| Equity/balance ratio std       | 0.001775   |
| No. fills                      | 17534      |
| No. entries                    | 7123       |
| No. closes                     | 10411      |
| No. initial entries            | 0          |
| No. reentries                  | 0          |
| No. unstuck/EMA entries        | 7123       |
| No. unstuck/EMA closes         | 9830       |
| No. normal closes              | 581        |
| Average n fills per day        | 20.9       |
| Mean hours stuck               | 1.14909    |
| Max hours stuck                | 50.25      |
| PNL sum                        | 800.8      |
| Profit sum                     | 892.2      |
| Loss sum                       | -91.4      |
| Fee sum                        | -14.58     |
| Volume quote                   | 388506.0   |
|                                |            |
| Short                          | True       |
| ADG per exposure               | 0.386%     |
| ADG weighted per exposure      | 0.353%     |
| Final balance                  | 1383.31    |
| Final equity                   | 1383.31    |
| Net PNL + fees                 | 383.309    |
| Net Total gain                 | 38.33%     |
| Average daily gain             | 0.0386%    |
| Average daily gain weighted    | 0.0353%    |
| Loss to profit ratio           | 0.07323    |
| Price action distance mean     | 0.0114674  |
| Price action distance std      | 0.0195358  |
| Price action distance max      | 0.213767   |
| Closest bankruptcy             | 100.0%     |
| Lowest equity/balance ratio    | 0.975      |
| Mean of 10 worst eq/bal ratios | 0.977      |
| Equity/balance ratio std       | 0.00191    |
| No. fills                      | 27418      |
| No. entries                    | 9965       |
| No. closes                     | 17453      |
| No. initial entries            | 0          |
| No. reentries                  | 0          |
| No. unstuck/EMA entries        | 9965       |
| No. unstuck/EMA closes         | 16809      |
| No. normal closes              | 644        |
| Average n fills per day        | 32.7       |
| Mean hours stuck               | 0.734984   |
| Max hours stuck                | 13.4167    |
| PNL sum                        | 390.4      |
| Profit sum                     | 421.2      |
| Loss sum                       | -30.85     |
| Fee sum                        | -7.085     |
| Volume quote                   | 378224.0   |
+--------------------------------+------------+
