+---------------------------------------------+
|                   Summary                   |
+--------------------------------+------------+
| Metric                         | Value      |
+--------------------------------+------------+
| Exchange                       | bybit      |
| Market type                    | futures    |
| Symbol                         | EOSUSDT    |
| Passivbot mode                 | clock      |
| ADG n subdivisions             | 10         |
| No. days                       | 1200.0     |
| Starting balance               | 1000.0     |
|                                |            |
| Long                           | True       |
| ADG per exposure               | 0.161%     |
| ADG weighted per exposure      | 0.0644%    |
| Final balance                  | 1480.12    |
| Final equity                   | 1480.12    |
| Net PNL + fees                 | 480.118    |
| Net Total gain                 | 48.01%     |
| Average daily gain             | 0.0322%    |
| Average daily gain weighted    | 0.0129%    |
| Loss to profit ratio           | 0.1342     |
| Price action distance mean     | 0.00658828 |
| Price action distance std      | 0.00817401 |
| Price action distance max      | 0.27213    |
| Closest bankruptcy             | 100.0%     |
| Lowest equity/balance ratio    | 0.9572     |
| Mean of 10 worst eq/bal ratios | 0.9789     |
| Equity/balance ratio std       | 0.0005152  |
| No. fills                      | 13140      |
| No. entries                    | 6681       |
| No. closes                     | 6459       |
| No. initial entries            | 0          |
| No. reentries                  | 0          |
| No. unstuck/EMA entries        | 6681       |
| No. unstuck/EMA closes         | 6098       |
| No. normal closes              | 361        |
| Average n fills per day        | 10.8       |
| Mean hours stuck               | 2.22524    |
| Max hours stuck                | 87.8167    |
| PNL sum                        | 490.7      |
| Profit sum                     | 566.7      |
| Loss sum                       | -76.04     |
| Fee sum                        | -10.56     |
| Volume quote                   | 123005.0   |
|                                |            |
| Short                          | True       |
| ADG per exposure               | 0.171%     |
| ADG weighted per exposure      | 0.14%      |
| Final balance                  | 1230.98    |
| Final equity                   | 1230.98    |
| Net PNL + fees                 | 230.984    |
| Net Total gain                 | 23.1%      |
| Average daily gain             | 0.0171%    |
| Average daily gain weighted    | 0.014%     |
| Loss to profit ratio           | 0.05003    |
| Price action distance mean     | 0.0124098  |
| Price action distance std      | 0.019805   |
| Price action distance max      | 0.22341    |
| Closest bankruptcy             | 100.0%     |
| Lowest equity/balance ratio    | 0.9712     |
| Mean of 10 worst eq/bal ratios | 0.9773     |
| Equity/balance ratio std       | 0.001942   |
| No. fills                      | 13652      |
| No. entries                    | 6758       |
| No. closes                     | 6894       |
| No. initial entries            | 0          |
| No. reentries                  | 0          |
| No. unstuck/EMA entries        | 6758       |
| No. unstuck/EMA closes         | 5938       |
| No. normal closes              | 956        |
| Average n fills per day        | 11.2       |
| Mean hours stuck               | 2.14236    |
| Max hours stuck                | 43.1667    |
| PNL sum                        | 235.2      |
| Profit sum                     | 247.6      |
| Loss sum                       | -12.39     |
| Fee sum                        | -4.227     |
| Volume quote                   | 178609.0   |
+--------------------------------+------------+
