+--------------------------------------------+
|                  Summary                   |
+--------------------------------+-----------+
| Metric                         | Value     |
+--------------------------------+-----------+
| Exchange                       | bybit     |
| Market type                    | futures   |
| Symbol                         | OCEANUSDT |
| Passivbot mode                 | clock     |
| ADG n subdivisions             | 10        |
| No. days                       | 920.0     |
| Starting balance               | 1000.0    |
|                                |           |
| Long                           | True      |
| ADG per exposure               | 0.257%    |
| ADG weighted per exposure      | 0.173%    |
| Final balance                  | 1603.86   |
| Final equity                   | 1603.86   |
| Net PNL + fees                 | 603.861   |
| Net Total gain                 | 60.39%    |
| Average daily gain             | 0.0514%   |
| Average daily gain weighted    | 0.0346%   |
| Loss to profit ratio           | 0.1154    |
| Price action distance mean     | 0.0135527 |
| Price action distance std      | 0.0199966 |
| Price action distance max      | 0.256887  |
| Closest bankruptcy             | 100.0%    |
| Lowest equity/balance ratio    | 0.9592    |
| Mean of 10 worst eq/bal ratios | 0.9626    |
| Equity/balance ratio std       | 0.00278   |
| No. fills                      | 10446     |
| No. entries                    | 5745      |
| No. closes                     | 4701      |
| No. initial entries            | 0         |
| No. reentries                  | 0         |
| No. unstuck/EMA entries        | 5745      |
| No. unstuck/EMA closes         | 3092      |
| No. normal closes              | 1609      |
| Average n fills per day        | 11.4      |
| Mean hours stuck               | 2.11083   |
| Max hours stuck                | 94.3667   |
| PNL sum                        | 612.7     |
| Profit sum                     | 692.6     |
| Loss sum                       | -79.91    |
| Fee sum                        | -8.839    |
| Volume quote                   | 234477.0  |
|                                |           |
| Short                          | True      |
| ADG per exposure               | 0.234%    |
| ADG weighted per exposure      | 0.263%    |
| Final balance                  | 1240.27   |
| Final equity                   | 1240.27   |
| Net PNL + fees                 | 240.265   |
| Net Total gain                 | 24.03%    |
| Average daily gain             | 0.0234%   |
| Average daily gain weighted    | 0.0263%   |
| Loss to profit ratio           | 0.07686   |
| Price action distance mean     | 0.013786  |
| Price action distance std      | 0.0191453 |
| Price action distance max      | 0.199271  |
| Closest bankruptcy             | 100.0%    |
| Lowest equity/balance ratio    | 0.9752    |
| Mean of 10 worst eq/bal ratios | 0.9792    |
| Equity/balance ratio std       | 0.001749  |
| No. fills                      | 15435     |
| No. entries                    | 6470      |
| No. closes                     | 8965      |
| No. initial entries            | 0         |
| No. reentries                  | 0         |
| No. unstuck/EMA entries        | 6470      |
| No. unstuck/EMA closes         | 7976      |
| No. normal closes              | 989       |
| Average n fills per day        | 16.8      |
| Mean hours stuck               | 1.42845   |
| Max hours stuck                | 36.9      |
| PNL sum                        | 245.3     |
| Profit sum                     | 265.8     |
| Loss sum                       | -20.43    |
| Fee sum                        | -5.068    |
| Volume quote                   | 150967.0  |
+--------------------------------+-----------+
