+---------------------------------------------+
|                   Summary                   |
+--------------------------------+------------+
| Metric                         | Value      |
+--------------------------------+------------+
| Exchange                       | bybit      |
| Market type                    | futures    |
| Symbol                         | SKLUSDT    |
| Passivbot mode                 | clock      |
| ADG n subdivisions             | 10         |
| No. days                       | 880.0      |
| Starting balance               | 1000.0     |
|                                |            |
| Long                           | True       |
| ADG per exposure               | 0.155%     |
| ADG weighted per exposure      | 0.0508%    |
| Final balance                  | 1314.51    |
| Final equity                   | 1314.51    |
| Net PNL + fees                 | 314.509    |
| Net Total gain                 | 31.45%     |
| Average daily gain             | 0.031%     |
| Average daily gain weighted    | 0.0102%    |
| Loss to profit ratio           | 0.1367     |
| Price action distance mean     | 0.00895233 |
| Price action distance std      | 0.00962586 |
| Price action distance max      | 0.336742   |
| Closest bankruptcy             | 100.0%     |
| Lowest equity/balance ratio    | 0.9496     |
| Mean of 10 worst eq/bal ratios | 0.9784     |
| Equity/balance ratio std       | 0.0005711  |
| No. fills                      | 14328      |
| No. entries                    | 8118       |
| No. closes                     | 6210       |
| No. initial entries            | 0          |
| No. reentries                  | 0          |
| No. unstuck/EMA entries        | 8118       |
| No. unstuck/EMA closes         | 6064       |
| No. normal closes              | 146        |
| Average n fills per day        | 16.2       |
| Mean hours stuck               | 1.4799     |
| Max hours stuck                | 67.9       |
| PNL sum                        | 323.2      |
| Profit sum                     | 374.4      |
| Loss sum                       | -51.18     |
| Fee sum                        | -8.738     |
| Volume quote                   | 68787.1    |
|                                |            |
| Short                          | True       |
| ADG per exposure               | 0.268%     |
| ADG weighted per exposure      | 0.228%     |
| Final balance                  | 1267.26    |
| Final equity                   | 1267.26    |
| Net PNL + fees                 | 267.259    |
| Net Total gain                 | 26.73%     |
| Average daily gain             | 0.0268%    |
| Average daily gain weighted    | 0.0228%    |
| Loss to profit ratio           | 0.03533    |
| Price action distance mean     | 0.0135242  |
| Price action distance std      | 0.0185243  |
| Price action distance max      | 0.196454   |
| Closest bankruptcy             | 100.0%     |
| Lowest equity/balance ratio    | 0.9758     |
| Mean of 10 worst eq/bal ratios | 0.9783     |
| Equity/balance ratio std       | 0.00139    |
| No. fills                      | 12397      |
| No. entries                    | 5086       |
| No. closes                     | 7311       |
| No. initial entries            | 0          |
| No. reentries                  | 0          |
| No. unstuck/EMA entries        | 5086       |
| No. unstuck/EMA closes         | 6684       |
| No. normal closes              | 627        |
| Average n fills per day        | 14.0       |
| Mean hours stuck               | 1.71051    |
| Max hours stuck                | 91.8167    |
| PNL sum                        | 271.0      |
| Profit sum                     | 280.9      |
| Loss sum                       | -9.925     |
| Fee sum                        | -3.701     |
| Volume quote                   | 114928.0   |
+--------------------------------+------------+
