+--------------------------------------------+
|                  Summary                   |
+--------------------------------+-----------+
| Metric                         | Value     |
+--------------------------------+-----------+
| Exchange                       | bybit     |
| Market type                    | futures   |
| Symbol                         | WOOUSDT   |
| Passivbot mode                 | clock     |
| ADG n subdivisions             | 10        |
| No. days                       | 400.0     |
| Starting balance               | 1000.0    |
|                                |           |
| Long                           | True      |
| ADG per exposure               | 0.298%    |
| ADG weighted per exposure      | 0.379%    |
| Final balance                  | 1267.56   |
| Final equity                   | 1267.56   |
| Net PNL + fees                 | 267.564   |
| Net Total gain                 | 26.76%    |
| Average daily gain             | 0.0596%   |
| Average daily gain weighted    | 0.0757%   |
| Loss to profit ratio           | 0.04234   |
| Price action distance mean     | 0.0119463 |
| Price action distance std      | 0.0193643 |
| Price action distance max      | 0.253151  |
| Closest bankruptcy             | 100.0%    |
| Lowest equity/balance ratio    | 0.9596    |
| Mean of 10 worst eq/bal ratios | 0.9682    |
| Equity/balance ratio std       | 0.00266   |
| No. fills                      | 8631      |
| No. entries                    | 2895      |
| No. closes                     | 5736      |
| No. initial entries            | 0         |
| No. reentries                  | 0         |
| No. unstuck/EMA entries        | 2895      |
| No. unstuck/EMA closes         | 5514      |
| No. normal closes              | 222       |
| Average n fills per day        | 21.7      |
| Mean hours stuck               | 1.10581   |
| Max hours stuck                | 37.9      |
| PNL sum                        | 271.6     |
| Profit sum                     | 283.6     |
| Loss sum                       | -12.01    |
| Fee sum                        | -4.004    |
| Volume quote                   | 254275.0  |
|                                |           |
| Short                          | True      |
| ADG per exposure               | 0.199%    |
| ADG weighted per exposure      | 0.248%    |
| Final balance                  | 1082.39   |
| Final equity                   | 1082.36   |
| Net PNL + fees                 | 82.3923   |
| Net Total gain                 | 8.239%    |
| Average daily gain             | 0.0199%   |
| Average daily gain weighted    | 0.0248%   |
| Loss to profit ratio           | 0.1112    |
| Price action distance mean     | 0.0132898 |
| Price action distance std      | 0.0135209 |
| Price action distance max      | 0.183242  |
| Closest bankruptcy             | 100.0%    |
| Lowest equity/balance ratio    | 0.9776    |
| Mean of 10 worst eq/bal ratios | 0.9803    |
| Equity/balance ratio std       | 0.001299  |
| No. fills                      | 8285      |
| No. entries                    | 3843      |
| No. closes                     | 4442      |
| No. initial entries            | 0         |
| No. reentries                  | 0         |
| No. unstuck/EMA entries        | 3843      |
| No. unstuck/EMA closes         | 4222      |
| No. normal closes              | 220       |
| Average n fills per day        | 20.8      |
| Mean hours stuck               | 1.15247   |
| Max hours stuck                | 7.28333   |
| PNL sum                        | 83.65     |
| Profit sum                     | 94.12     |
| Loss sum                       | -10.47    |
| Fee sum                        | -1.26     |
| Volume quote                   | 73271.0   |
+--------------------------------+-----------+
