+---------------------------------------------+
|                   Summary                   |
+--------------------------------+------------+
| Metric                         | Value      |
+--------------------------------+------------+
| Exchange                       | bybit      |
| Market type                    | futures    |
| Symbol                         | ZILUSDT    |
| Passivbot mode                 | clock      |
| ADG n subdivisions             | 10         |
| No. days                       | 1100.0     |
| Starting balance               | 1000.0     |
|                                |            |
| Long                           | True       |
| ADG per exposure               | 0.156%     |
| ADG weighted per exposure      | 0.0999%    |
| Final balance                  | 1389.39    |
| Final equity                   | 1389.37    |
| Net PNL + fees                 | 389.388    |
| Net Total gain                 | 38.94%     |
| Average daily gain             | 0.0311%    |
| Average daily gain weighted    | 0.02%      |
| Loss to profit ratio           | 0.1388     |
| Price action distance mean     | 0.0133557  |
| Price action distance std      | 0.0176208  |
| Price action distance max      | 0.341135   |
| Closest bankruptcy             | 100.0%     |
| Lowest equity/balance ratio    | 0.9491     |
| Mean of 10 worst eq/bal ratios | 0.9539     |
| Equity/balance ratio std       | 0.002787   |
| No. fills                      | 24415      |
| No. entries                    | 12022      |
| No. closes                     | 12393      |
| No. initial entries            | 0          |
| No. reentries                  | 0          |
| No. unstuck/EMA entries        | 12022      |
| No. unstuck/EMA closes         | 11451      |
| No. normal closes              | 942        |
| Average n fills per day        | 23.1       |
| Mean hours stuck               | 1.0385     |
| Max hours stuck                | 11.8333    |
| PNL sum                        | 397.8      |
| Profit sum                     | 461.9      |
| Loss sum                       | -64.11     |
| Fee sum                        | -8.401     |
| Volume quote                   | 404000.0   |
|                                |            |
| Short                          | True       |
| ADG per exposure               | 0.113%     |
| ADG weighted per exposure      | 0.0626%    |
| Final balance                  | 1126.88    |
| Final equity                   | 1126.88    |
| Net PNL + fees                 | 126.884    |
| Net Total gain                 | 12.69%     |
| Average daily gain             | 0.0113%    |
| Average daily gain weighted    | 0.00626%   |
| Loss to profit ratio           | 0.536      |
| Price action distance mean     | 0.00810087 |
| Price action distance std      | 0.00703252 |
| Price action distance max      | 0.214712   |
| Closest bankruptcy             | 100.0%     |
| Lowest equity/balance ratio    | 0.9727     |
| Mean of 10 worst eq/bal ratios | 0.9848     |
| Equity/balance ratio std       | 0.0004156  |
| No. fills                      | 21428      |
| No. entries                    | 14178      |
| No. closes                     | 7250       |
| No. initial entries            | 0          |
| No. reentries                  | 0          |
| No. unstuck/EMA entries        | 14178      |
| No. unstuck/EMA closes         | 6025       |
| No. normal closes              | 1225       |
| Average n fills per day        | 20.3       |
| Mean hours stuck               | 1.18349    |
| Max hours stuck                | 8.05       |
| PNL sum                        | 133.6      |
| Profit sum                     | 287.9      |
| Loss sum                       | -154.3     |
| Fee sum                        | -6.68      |
| Volume quote                   | 85603.7    |
+--------------------------------+------------+
