+--------------------------------------------+
|                  Summary                   |
+--------------------------------+-----------+
| Metric                         | Value     |
+--------------------------------+-----------+
| Exchange                       | bybit     |
| Market type                    | futures   |
| Symbol                         | ARUSDT    |
| Passivbot mode                 | clock     |
| ADG n subdivisions             | 10        |
| No. days                       | 590.0     |
| Starting balance               | 1000.0    |
|                                |           |
| Long                           | True      |
| ADG per exposure               | 0.166%    |
| ADG weighted per exposure      | 0.126%    |
| Final balance                  | 1341.85   |
| Final equity                   | 1341.85   |
| Net PNL + fees                 | 341.848   |
| Net Total gain                 | 34.18%    |
| Average daily gain             | 0.0499%   |
| Average daily gain weighted    | 0.0378%   |
| Loss to profit ratio           | 0.06344   |
| Price action distance mean     | 0.0128492 |
| Price action distance std      | 0.0133313 |
| Price action distance max      | 0.106926  |
| Closest bankruptcy             | 100.0%    |
| Lowest equity/balance ratio    | 0.9665    |
| Mean of 10 worst eq/bal ratios | 0.9769    |
| Equity/balance ratio std       | 0.002361  |
| No. fills                      | 7928      |
| No. entries                    | 2992      |
| No. closes                     | 4936      |
| No. initial entries            | 0         |
| No. reentries                  | 0         |
| No. unstuck/EMA entries        | 2992      |
| No. unstuck/EMA closes         | 4724      |
| No. normal closes              | 212       |
| Average n fills per day        | 13.4      |
| Mean hours stuck               | 1.78555   |
| Max hours stuck                | 86.6333   |
| PNL sum                        | 348.0     |
| Profit sum                     | 371.5     |
| Loss sum                       | -23.57    |
| Fee sum                        | -6.116    |
| Volume quote                   | 273901.0  |
|                                |           |
| Short                          | True      |
| ADG per exposure               | 0.134%    |
| ADG weighted per exposure      | 0.0496%   |
| Final balance                  | 1082.24   |
| Final equity                   | 1082.24   |
| Net PNL + fees                 | 82.245    |
| Net Total gain                 | 8.224%    |
| Average daily gain             | 0.0134%   |
| Average daily gain weighted    | 0.00496%  |
| Loss to profit ratio           | 0.1299    |
| Price action distance mean     | 0.0145404 |
| Price action distance std      | 0.0197461 |
| Price action distance max      | 0.234595  |
| Closest bankruptcy             | 100.0%    |
| Lowest equity/balance ratio    | 0.9693    |
| Mean of 10 worst eq/bal ratios | 0.9738    |
| Equity/balance ratio std       | 0.00155   |
| No. fills                      | 4965      |
| No. entries                    | 2767      |
| No. closes                     | 2198      |
| No. initial entries            | 0         |
| No. reentries                  | 0         |
| No. unstuck/EMA entries        | 2767      |
| No. unstuck/EMA closes         | 856       |
| No. normal closes              | 1342      |
| Average n fills per day        | 8.42      |
| Mean hours stuck               | 2.84966   |
| Max hours stuck                | 86.6833   |
| PNL sum                        | 84.27     |
| Profit sum                     | 96.85     |
| Loss sum                       | -12.58    |
| Fee sum                        | -2.027    |
| Volume quote                   | 44200.0   |
+--------------------------------+-----------+
