+--------------------------------------------+
|                  Summary                   |
+--------------------------------+-----------+
| Metric                         | Value     |
+--------------------------------+-----------+
| Exchange                       | bybit     |
| Market type                    | futures   |
| Symbol                         | SANDUSDT  |
| Passivbot mode                 | clock     |
| ADG n subdivisions             | 10        |
| No. days                       | 840.0     |
| Starting balance               | 1000.0    |
|                                |           |
| Long                           | True      |
| ADG per exposure               | 0.222%    |
| ADG weighted per exposure      | 0.0998%   |
| Final balance                  | 1742.84   |
| Final equity                   | 1742.84   |
| Net PNL + fees                 | 742.841   |
| Net Total gain                 | 74.28%    |
| Average daily gain             | 0.0665%   |
| Average daily gain weighted    | 0.0299%   |
| Loss to profit ratio           | 0.1434    |
| Price action distance mean     | 0.0106662 |
| Price action distance std      | 0.0196287 |
| Price action distance max      | 0.504039  |
| Closest bankruptcy             | 100.0%    |
| Lowest equity/balance ratio    | 0.8995    |
| Mean of 10 worst eq/bal ratios | 0.9355    |
| Equity/balance ratio std       | 0.003052  |
| No. fills                      | 13618     |
| No. entries                    | 6954      |
| No. closes                     | 6664      |
| No. initial entries            | 0         |
| No. reentries                  | 0         |
| No. unstuck/EMA entries        | 6954      |
| No. unstuck/EMA closes         | 4976      |
| No. normal closes              | 1688      |
| Average n fills per day        | 16.3      |
| Mean hours stuck               | 1.47284   |
| Max hours stuck                | 68.7833   |
| PNL sum                        | 760.6     |
| Profit sum                     | 887.9     |
| Loss sum                       | -127.3    |
| Fee sum                        | -17.76    |
| Volume quote                   | 270211.0  |
|                                |           |
| Short                          | True      |
| ADG per exposure               | 0.107%    |
| ADG weighted per exposure      | 0.0655%   |
| Final balance                  | 1093.67   |
| Final equity                   | 1093.67   |
| Net PNL + fees                 | 93.6742   |
| Net Total gain                 | 9.367%    |
| Average daily gain             | 0.0107%   |
| Average daily gain weighted    | 0.00655%  |
| Loss to profit ratio           | 0.1773    |
| Price action distance mean     | 0.0140528 |
| Price action distance std      | 0.0142607 |
| Price action distance max      | 0.147932  |
| Closest bankruptcy             | 100.0%    |
| Lowest equity/balance ratio    | 0.9826    |
| Mean of 10 worst eq/bal ratios | 0.9867    |
| Equity/balance ratio std       | 0.0004427 |
| No. fills                      | 6104      |
| No. entries                    | 3493      |
| No. closes                     | 2611      |
| No. initial entries            | 0         |
| No. reentries                  | 0         |
| No. unstuck/EMA entries        | 3493      |
| No. unstuck/EMA closes         | 2442      |
| No. normal closes              | 169       |
| Average n fills per day        | 7.3       |
| Mean hours stuck               | 3.28559   |
| Max hours stuck                | 49.3      |
| PNL sum                        | 95.66     |
| Profit sum                     | 116.3     |
| Loss sum                       | -20.61    |
| Fee sum                        | -1.984    |
| Volume quote                   | 27862.4   |
+--------------------------------+-----------+
