+--------------------------------------------+
|                  Summary                   |
+--------------------------------+-----------+
| Metric                         | Value     |
+--------------------------------+-----------+
| Exchange                       | bybit     |
| Market type                    | futures   |
| Symbol                         | ANKRUSDT  |
| Passivbot mode                 | clock     |
| ADG n subdivisions             | 10        |
| No. days                       | 830.0     |
| Starting balance               | 1000.0    |
|                                |           |
| Long                           | True      |
| ADG per exposure               | 0.213%    |
| ADG weighted per exposure      | 0.156%    |
| Final balance                  | 1427.65   |
| Final equity                   | 1427.63   |
| Net PNL + fees                 | 427.655   |
| Net Total gain                 | 42.77%    |
| Average daily gain             | 0.0427%   |
| Average daily gain weighted    | 0.0312%   |
| Loss to profit ratio           | 0.07958   |
| Price action distance mean     | 0.0122576 |
| Price action distance std      | 0.0114653 |
| Price action distance max      | 0.273308  |
| Closest bankruptcy             | 100.0%    |
| Lowest equity/balance ratio    | 0.9542    |
| Mean of 10 worst eq/bal ratios | 0.9674    |
| Equity/balance ratio std       | 0.001337  |
| No. fills                      | 10456     |
| No. entries                    | 5144      |
| No. closes                     | 5312      |
| No. initial entries            | 0         |
| No. reentries                  | 0         |
| No. unstuck/EMA entries        | 5144      |
| No. unstuck/EMA closes         | 4062      |
| No. normal closes              | 1250      |
| Average n fills per day        | 12.5      |
| Mean hours stuck               | 1.91581   |
| Max hours stuck                | 40.5667   |
| PNL sum                        | 434.9     |
| Profit sum                     | 472.5     |
| Loss sum                       | -37.6     |
| Fee sum                        | -7.276    |
| Volume quote                   | 148100.0  |
|                                |           |
| Short                          | True      |
| ADG per exposure               | 0.378%    |
| ADG weighted per exposure      | 0.297%    |
| Final balance                  | 1370.72   |
| Final equity                   | 1370.71   |
| Net PNL + fees                 | 370.72    |
| Net Total gain                 | 37.07%    |
| Average daily gain             | 0.0378%   |
| Average daily gain weighted    | 0.0297%   |
| Loss to profit ratio           | 0.01898   |
| Price action distance mean     | 0.0112081 |
| Price action distance std      | 0.0140066 |
| Price action distance max      | 0.223167  |
| Closest bankruptcy             | 100.0%    |
| Lowest equity/balance ratio    | 0.9713    |
| Mean of 10 worst eq/bal ratios | 0.9777    |
| Equity/balance ratio std       | 0.001254  |
| No. fills                      | 5902      |
| No. entries                    | 3685      |
| No. closes                     | 2217      |
| No. initial entries            | 0         |
| No. reentries                  | 0         |
| No. unstuck/EMA entries        | 3685      |
| No. unstuck/EMA closes         | 793       |
| No. normal closes              | 1424      |
| Average n fills per day        | 7.07      |
| Mean hours stuck               | 3.39429   |
| Max hours stuck                | 62.6      |
| PNL sum                        | 374.6     |
| Profit sum                     | 381.8     |
| Loss sum                       | -7.246    |
| Fee sum                        | -3.845    |
| Volume quote                   | 70563.9   |
+--------------------------------+-----------+
