+--------------------------------------------+
|                  Summary                   |
+--------------------------------+-----------+
| Metric                         | Value     |
+--------------------------------+-----------+
| Exchange                       | bybit     |
| Market type                    | futures   |
| Symbol                         | APEUSDT   |
| Passivbot mode                 | clock     |
| ADG n subdivisions             | 10        |
| No. days                       | 420.0     |
| Starting balance               | 1000.0    |
|                                |           |
| Long                           | True      |
| ADG per exposure               | 0.317%    |
| ADG weighted per exposure      | 0.238%    |
| Final balance                  | 1304.86   |
| Final equity                   | 1304.84   |
| Net PNL + fees                 | 304.861   |
| Net Total gain                 | 30.49%    |
| Average daily gain             | 0.0635%   |
| Average daily gain weighted    | 0.0476%   |
| Loss to profit ratio           | 0.01637   |
| Price action distance mean     | 0.0131739 |
| Price action distance std      | 0.0182199 |
| Price action distance max      | 0.199163  |
| Closest bankruptcy             | 100.0%    |
| Lowest equity/balance ratio    | 0.9669    |
| Mean of 10 worst eq/bal ratios | 0.9692    |
| Equity/balance ratio std       | 0.003134  |
| No. fills                      | 5714      |
| No. entries                    | 2522      |
| No. closes                     | 3192      |
| No. initial entries            | 0         |
| No. reentries                  | 0         |
| No. unstuck/EMA entries        | 2522      |
| No. unstuck/EMA closes         | 2095      |
| No. normal closes              | 1097      |
| Average n fills per day        | 13.6      |
| Mean hours stuck               | 1.76131   |
| Max hours stuck                | 34.3333   |
| PNL sum                        | 309.5     |
| Profit sum                     | 314.7     |
| Loss sum                       | -5.152    |
| Fee sum                        | -4.657    |
| Volume quote                   | 168146.0  |
|                                |           |
| Short                          | True      |
| ADG per exposure               | 0.342%    |
| ADG weighted per exposure      | 0.186%    |
| Final balance                  | 1154.0    |
| Final equity                   | 1153.94   |
| Net PNL + fees                 | 153.995   |
| Net Total gain                 | 15.4%     |
| Average daily gain             | 0.0342%   |
| Average daily gain weighted    | 0.0186%   |
| Loss to profit ratio           | 0.009846  |
| Price action distance mean     | 0.0121999 |
| Price action distance std      | 0.0179626 |
| Price action distance max      | 0.197868  |
| Closest bankruptcy             | 100.0%    |
| Lowest equity/balance ratio    | 0.9754    |
| Mean of 10 worst eq/bal ratios | 0.9796    |
| Equity/balance ratio std       | 0.00204   |
| No. fills                      | 7841      |
| No. entries                    | 5735      |
| No. closes                     | 2106      |
| No. initial entries            | 0         |
| No. reentries                  | 0         |
| No. unstuck/EMA entries        | 5735      |
| No. unstuck/EMA closes         | 904       |
| No. normal closes              | 1202      |
| Average n fills per day        | 18.7      |
| Mean hours stuck               | 1.28334   |
| Max hours stuck                | 31.8667   |
| PNL sum                        | 156.2     |
| Profit sum                     | 157.8     |
| Loss sum                       | -1.554    |
| Fee sum                        | -2.248    |
| Volume quote                   | 103383.0  |
+--------------------------------+-----------+
