+--------------------------------------------+
|                  Summary                   |
+--------------------------------+-----------+
| Metric                         | Value     |
+--------------------------------+-----------+
| Exchange                       | bybit     |
| Market type                    | futures   |
| Symbol                         | AVAXUSDT  |
| Passivbot mode                 | clock     |
| ADG n subdivisions             | 10        |
| No. days                       | 960.0     |
| Starting balance               | 1000.0    |
|                                |           |
| Long                           | True      |
| ADG per exposure               | 0.293%    |
| ADG weighted per exposure      | 0.138%    |
| Final balance                  | 1755.72   |
| Final equity                   | 1755.74   |
| Net PNL + fees                 | 755.716   |
| Net Total gain                 | 75.57%    |
| Average daily gain             | 0.0587%   |
| Average daily gain weighted    | 0.0275%   |
| Loss to profit ratio           | 0.132     |
| Price action distance mean     | 0.0121287 |
| Price action distance std      | 0.018509  |
| Price action distance max      | 0.37891   |
| Closest bankruptcy             | 100.0%    |
| Lowest equity/balance ratio    | 0.9449    |
| Mean of 10 worst eq/bal ratios | 0.9508    |
| Equity/balance ratio std       | 0.002288  |
| No. fills                      | 9184      |
| No. entries                    | 4254      |
| No. closes                     | 4930      |
| No. initial entries            | 0         |
| No. reentries                  | 0         |
| No. unstuck/EMA entries        | 4254      |
| No. unstuck/EMA closes         | 4649      |
| No. normal closes              | 281       |
| Average n fills per day        | 9.57      |
| Mean hours stuck               | 2.50805   |
| Max hours stuck                | 76.9167   |
| PNL sum                        | 766.1     |
| Profit sum                     | 882.7     |
| Loss sum                       | -116.5    |
| Fee sum                        | -10.43    |
| Volume quote                   | 203141.0  |
|                                |           |
| Short                          | True      |
| ADG per exposure               | 0.213%    |
| ADG weighted per exposure      | 0.0939%   |
| Final balance                  | 1227.04   |
| Final equity                   | 1227.03   |
| Net PNL + fees                 | 227.042   |
| Net Total gain                 | 22.7%     |
| Average daily gain             | 0.0213%   |
| Average daily gain weighted    | 0.00939%  |
| Loss to profit ratio           | 0.1241    |
| Price action distance mean     | 0.0148303 |
| Price action distance std      | 0.0195949 |
| Price action distance max      | 0.239259  |
| Closest bankruptcy             | 100.0%    |
| Lowest equity/balance ratio    | 0.969     |
| Mean of 10 worst eq/bal ratios | 0.9719    |
| Equity/balance ratio std       | 0.001695  |
| No. fills                      | 8481      |
| No. entries                    | 4587      |
| No. closes                     | 3894      |
| No. initial entries            | 0         |
| No. reentries                  | 0         |
| No. unstuck/EMA entries        | 4587      |
| No. unstuck/EMA closes         | 746       |
| No. normal closes              | 3148      |
| Average n fills per day        | 8.84      |
| Mean hours stuck               | 2.71548   |
| Max hours stuck                | 57.7667   |
| PNL sum                        | 231.8     |
| Profit sum                     | 264.7     |
| Loss sum                       | -32.85    |
| Fee sum                        | -4.79     |
| Volume quote                   | 96428.3   |
+--------------------------------+-----------+
