+---------------------------------------------+
|                   Summary                   |
+--------------------------------+------------+
| Metric                         | Value      |
+--------------------------------+------------+
| Exchange                       | bybit      |
| Market type                    | futures    |
| Symbol                         | DOGEUSDT   |
| Passivbot mode                 | clock      |
| ADG n subdivisions             | 10         |
| No. days                       | 1000.0     |
| Starting balance               | 1000.0     |
|                                |            |
| Long                           | True       |
| ADG per exposure               | 0.455%     |
| ADG weighted per exposure      | 0.204%     |
| Final balance                  | 2563.54    |
| Final equity                   | 2563.53    |
| Net PNL + fees                 | 1563.54    |
| Net Total gain                 | 156.4%     |
| Average daily gain             | 0.091%     |
| Average daily gain weighted    | 0.0408%    |
| Loss to profit ratio           | 0.1053     |
| Price action distance mean     | 0.00976916 |
| Price action distance std      | 0.0172045  |
| Price action distance max      | 0.37364    |
| Closest bankruptcy             | 100.0%     |
| Lowest equity/balance ratio    | 0.9456     |
| Mean of 10 worst eq/bal ratios | 0.9526     |
| Equity/balance ratio std       | 0.002653   |
| No. fills                      | 15388      |
| No. entries                    | 6016       |
| No. closes                     | 9372       |
| No. initial entries            | 0          |
| No. reentries                  | 0          |
| No. unstuck/EMA entries        | 6016       |
| No. unstuck/EMA closes         | 7879       |
| No. normal closes              | 1493       |
| Average n fills per day        | 14.9       |
| Mean hours stuck               | 1.61359    |
| Max hours stuck                | 34.95      |
| PNL sum                        | 1584.0     |
| Profit sum                     | 1771.0     |
| Loss sum                       | -186.4     |
| Fee sum                        | -20.8      |
| Volume quote                   | 682048.0   |
|                                |            |
| Short                          | True       |
| ADG per exposure               | 0.131%     |
| ADG weighted per exposure      | 0.0681%    |
| Final balance                  | 1144.92    |
| Final equity                   | 1144.92    |
| Net PNL + fees                 | 144.916    |
| Net Total gain                 | 14.49%     |
| Average daily gain             | 0.0131%    |
| Average daily gain weighted    | 0.00681%   |
| Loss to profit ratio           | 0.02174    |
| Price action distance mean     | 0.012499   |
| Price action distance std      | 0.0147296  |
| Price action distance max      | 0.41831    |
| Closest bankruptcy             | 100.0%     |
| Lowest equity/balance ratio    | 0.9281     |
| Mean of 10 worst eq/bal ratios | 0.9695     |
| Equity/balance ratio std       | 0.0009083  |
| No. fills                      | 6831       |
| No. entries                    | 3119       |
| No. closes                     | 3712       |
| No. initial entries            | 0          |
| No. reentries                  | 0          |
| No. unstuck/EMA entries        | 3119       |
| No. unstuck/EMA closes         | 2960       |
| No. normal closes              | 752        |
| Average n fills per day        | 6.6        |
| Mean hours stuck               | 3.63459    |
| Max hours stuck                | 80.7667    |
| PNL sum                        | 146.4      |
| Profit sum                     | 149.7      |
| Loss sum                       | -3.255     |
| Fee sum                        | -1.529     |
| Volume quote                   | 45902.5    |
+--------------------------------+------------+
