+--------------------------------------------+
|                  Summary                   |
+--------------------------------+-----------+
| Metric                         | Value     |
+--------------------------------+-----------+
| Exchange                       | bybit     |
| Market type                    | futures   |
| Symbol                         | ENJUSDT   |
| Passivbot mode                 | clock     |
| ADG n subdivisions             | 10        |
| No. days                       | 950.0     |
| Starting balance               | 1000.0    |
|                                |           |
| Long                           | True      |
| ADG per exposure               | 0.155%    |
| ADG weighted per exposure      | 0.103%    |
| Final balance                  | 1344.55   |
| Final equity                   | 1344.55   |
| Net PNL + fees                 | 344.554   |
| Net Total gain                 | 34.46%    |
| Average daily gain             | 0.031%    |
| Average daily gain weighted    | 0.0207%   |
| Loss to profit ratio           | 0.1058    |
| Price action distance mean     | 0.0184627 |
| Price action distance std      | 0.0198576 |
| Price action distance max      | 0.46481   |
| Closest bankruptcy             | 100.0%    |
| Lowest equity/balance ratio    | 0.9365    |
| Mean of 10 worst eq/bal ratios | 0.9572    |
| Equity/balance ratio std       | 0.002123  |
| No. fills                      | 9971      |
| No. entries                    | 4086      |
| No. closes                     | 5885      |
| No. initial entries            | 0         |
| No. reentries                  | 0         |
| No. unstuck/EMA entries        | 4086      |
| No. unstuck/EMA closes         | 5745      |
| No. normal closes              | 140       |
| Average n fills per day        | 10.5      |
| Mean hours stuck               | 2.29552   |
| Max hours stuck                | 41.7333   |
| PNL sum                        | 348.6     |
| Profit sum                     | 389.9     |
| Loss sum                       | -41.26    |
| Fee sum                        | -4.081    |
| Volume quote                   | 166751.0  |
|                                |           |
| Short                          | True      |
| ADG per exposure               | 0.271%    |
| ADG weighted per exposure      | 0.204%    |
| Final balance                  | 1294.55   |
| Final equity                   | 1294.52   |
| Net PNL + fees                 | 294.55    |
| Net Total gain                 | 29.45%    |
| Average daily gain             | 0.0271%   |
| Average daily gain weighted    | 0.0204%   |
| Loss to profit ratio           | 0.1481    |
| Price action distance mean     | 0.0135976 |
| Price action distance std      | 0.0183895 |
| Price action distance max      | 0.212297  |
| Closest bankruptcy             | 100.0%    |
| Lowest equity/balance ratio    | 0.973     |
| Mean of 10 worst eq/bal ratios | 0.9763    |
| Equity/balance ratio std       | 0.001872  |
| No. fills                      | 9814      |
| No. entries                    | 5684      |
| No. closes                     | 4130      |
| No. initial entries            | 0         |
| No. reentries                  | 0         |
| No. unstuck/EMA entries        | 5684      |
| No. unstuck/EMA closes         | 3122      |
| No. normal closes              | 1008      |
| Average n fills per day        | 10.3      |
| Mean hours stuck               | 2.33214   |
| Max hours stuck                | 50.9667   |
| PNL sum                        | 298.6     |
| Profit sum                     | 350.5     |
| Loss sum                       | -51.92    |
| Fee sum                        | -4.075    |
| Volume quote                   | 116907.0  |
+--------------------------------+-----------+
