+--------------------------------------------+
|                  Summary                   |
+--------------------------------+-----------+
| Metric                         | Value     |
+--------------------------------+-----------+
| Exchange                       | bybit     |
| Market type                    | futures   |
| Symbol                         | GRTUSDT   |
| Passivbot mode                 | clock     |
| ADG n subdivisions             | 10        |
| No. days                       | 870.0     |
| Starting balance               | 1000.0    |
|                                |           |
| Long                           | True      |
| ADG per exposure               | 0.292%    |
| ADG weighted per exposure      | 0.215%    |
| Final balance                  | 1664.84   |
| Final equity                   | 1664.84   |
| Net PNL + fees                 | 664.84    |
| Net Total gain                 | 66.48%    |
| Average daily gain             | 0.0584%   |
| Average daily gain weighted    | 0.043%    |
| Loss to profit ratio           | 0.1459    |
| Price action distance mean     | 0.0144013 |
| Price action distance std      | 0.0199067 |
| Price action distance max      | 0.396686  |
| Closest bankruptcy             | 100.0%    |
| Lowest equity/balance ratio    | 0.9432    |
| Mean of 10 worst eq/bal ratios | 0.9513    |
| Equity/balance ratio std       | 0.002615  |
| No. fills                      | 6757      |
| No. entries                    | 3274      |
| No. closes                     | 3483      |
| No. initial entries            | 0         |
| No. reentries                  | 0         |
| No. unstuck/EMA entries        | 3274      |
| No. unstuck/EMA closes         | 3000      |
| No. normal closes              | 483       |
| Average n fills per day        | 7.74      |
| Mean hours stuck               | 3.09936   |
| Max hours stuck                | 60.95     |
| PNL sum                        | 672.5     |
| Profit sum                     | 787.4     |
| Loss sum                       | -114.9    |
| Fee sum                        | -7.71     |
| Volume quote                   | 153744.0  |
|                                |           |
| Short                          | True      |
| ADG per exposure               | 0.303%    |
| ADG weighted per exposure      | 0.23%     |
| Final balance                  | 1302.66   |
| Final equity                   | 1302.59   |
| Net PNL + fees                 | 302.655   |
| Net Total gain                 | 30.27%    |
| Average daily gain             | 0.0303%   |
| Average daily gain weighted    | 0.023%    |
| Loss to profit ratio           | 0.02484   |
| Price action distance mean     | 0.0157638 |
| Price action distance std      | 0.0199866 |
| Price action distance max      | 0.314775  |
| Closest bankruptcy             | 100.0%    |
| Lowest equity/balance ratio    | 0.9541    |
| Mean of 10 worst eq/bal ratios | 0.9654    |
| Equity/balance ratio std       | 0.002164  |
| No. fills                      | 9523      |
| No. entries                    | 4130      |
| No. closes                     | 5393      |
| No. initial entries            | 0         |
| No. reentries                  | 0         |
| No. unstuck/EMA entries        | 4130      |
| No. unstuck/EMA closes         | 4377      |
| No. normal closes              | 1016      |
| Average n fills per day        | 10.9      |
| Mean hours stuck               | 2.19912   |
| Max hours stuck                | 32.3167   |
| PNL sum                        | 305.8     |
| Profit sum                     | 313.6     |
| Loss sum                       | -7.79     |
| Fee sum                        | -3.14     |
| Volume quote                   | 96584.0   |
+--------------------------------+-----------+
