+--------------------------------------------+
|                  Summary                   |
+--------------------------------+-----------+
| Metric                         | Value     |
+--------------------------------+-----------+
| Exchange                       | bybit     |
| Market type                    | futures   |
| Symbol                         | 1INCHUSDT |
| Passivbot mode                 | clock     |
| ADG n subdivisions             | 10        |
| No. days                       | 870.0     |
| Starting balance               | 1000.0    |
|                                |           |
| Long                           | True      |
| ADG per exposure               | 0.203%    |
| ADG weighted per exposure      | 0.0773%   |
| Final balance                  | 1420.78   |
| Final equity                   | 1420.78   |
| Net PNL + fees                 | 420.777   |
| Net Total gain                 | 42.08%    |
| Average daily gain             | 0.0405%   |
| Average daily gain weighted    | 0.0155%   |
| Loss to profit ratio           | 0.1346    |
| Price action distance mean     | 0.0114249 |
| Price action distance std      | 0.0154044 |
| Price action distance max      | 0.226774  |
| Closest bankruptcy             | 100.0%    |
| Lowest equity/balance ratio    | 0.963     |
| Mean of 10 worst eq/bal ratios | 0.967     |
| Equity/balance ratio std       | 0.00153   |
| No. fills                      | 11584     |
| No. entries                    | 4903      |
| No. closes                     | 6681      |
| No. initial entries            | 0         |
| No. reentries                  | 0         |
| No. unstuck/EMA entries        | 4903      |
| No. unstuck/EMA closes         | 6234      |
| No. normal closes              | 447       |
| Average n fills per day        | 13.4      |
| Mean hours stuck               | 1.79506   |
| Max hours stuck                | 70.3833   |
| PNL sum                        | 428.2     |
| Profit sum                     | 494.7     |
| Loss sum                       | -66.59    |
| Fee sum                        | -7.379    |
| Volume quote                   | 182165.0  |
|                                |           |
| Short                          | True      |
| ADG per exposure               | 0.296%    |
| ADG weighted per exposure      | 0.199%    |
| Final balance                  | 1292.78   |
| Final equity                   | 1292.77   |
| Net PNL + fees                 | 292.775   |
| Net Total gain                 | 29.28%    |
| Average daily gain             | 0.0296%   |
| Average daily gain weighted    | 0.0199%   |
| Loss to profit ratio           | 0.1384    |
| Price action distance mean     | 0.0119329 |
| Price action distance std      | 0.0161315 |
| Price action distance max      | 0.182693  |
| Closest bankruptcy             | 100.0%    |
| Lowest equity/balance ratio    | 0.9802    |
| Mean of 10 worst eq/bal ratios | 0.982     |
| Equity/balance ratio std       | 0.001549  |
| No. fills                      | 10057     |
| No. entries                    | 7159      |
| No. closes                     | 2898      |
| No. initial entries            | 0         |
| No. reentries                  | 0         |
| No. unstuck/EMA entries        | 7159      |
| No. unstuck/EMA closes         | 1379      |
| No. normal closes              | 1519      |
| Average n fills per day        | 11.6      |
| Mean hours stuck               | 2.06772   |
| Max hours stuck                | 45.0      |
| PNL sum                        | 297.1     |
| Profit sum                     | 344.8     |
| Loss sum                       | -47.72    |
| Fee sum                        | -4.346    |
| Volume quote                   | 165514.0  |
+--------------------------------+-----------+
