+---------------------------------------------+
|                   Summary                   |
+--------------------------------+------------+
| Metric                         | Value      |
+--------------------------------+------------+
| Exchange                       | bybit      |
| Market type                    | futures    |
| Symbol                         | AAVEUSDT   |
| Passivbot mode                 | clock      |
| ADG n subdivisions             | 10         |
| No. days                       | 940.0      |
| Starting balance               | 1000.0     |
|                                |            |
| Long                           | True       |
| ADG per exposure               | 0.262%     |
| ADG weighted per exposure      | 0.0831%    |
| Final balance                  | 1634.35    |
| Final equity                   | 1634.35    |
| Net PNL + fees                 | 634.355    |
| Net Total gain                 | 63.44%     |
| Average daily gain             | 0.0525%    |
| Average daily gain weighted    | 0.0166%    |
| Loss to profit ratio           | 0.1332     |
| Price action distance mean     | 0.00946973 |
| Price action distance std      | 0.0110921  |
| Price action distance max      | 0.279067   |
| Closest bankruptcy             | 100.0%     |
| Lowest equity/balance ratio    | 0.9562     |
| Mean of 10 worst eq/bal ratios | 0.9682     |
| Equity/balance ratio std       | 0.0009846  |
| No. fills                      | 12082      |
| No. entries                    | 5831       |
| No. closes                     | 6251       |
| No. initial entries            | 0          |
| No. reentries                  | 0          |
| No. unstuck/EMA entries        | 5831       |
| No. unstuck/EMA closes         | 5826       |
| No. normal closes              | 425        |
| Average n fills per day        | 12.9       |
| Mean hours stuck               | 1.86044    |
| Max hours stuck                | 63.8667    |
| PNL sum                        | 646.3      |
| Profit sum                     | 745.5      |
| Loss sum                       | -99.27     |
| Fee sum                        | -11.9      |
| Volume quote                   | 175268.0   |
|                                |            |
| Short                          | True       |
| ADG per exposure               | 0.0865%    |
| ADG weighted per exposure      | 0.0133%    |
| Final balance                  | 1084.44    |
| Final equity                   | 1084.44    |
| Net PNL + fees                 | 84.445     |
| Net Total gain                 | 8.444%     |
| Average daily gain             | 0.00865%   |
| Average daily gain weighted    | 0.00133%   |
| Loss to profit ratio           | 0.2374     |
| Price action distance mean     | 0.0103948  |
| Price action distance std      | 0.00884255 |
| Price action distance max      | 0.089235   |
| Closest bankruptcy             | 100.0%     |
| Lowest equity/balance ratio    | 0.9903     |
| Mean of 10 worst eq/bal ratios | 0.9953     |
| Equity/balance ratio std       | 0.0001608  |
| No. fills                      | 10397      |
| No. entries                    | 5810       |
| No. closes                     | 4587       |
| No. initial entries            | 0          |
| No. reentries                  | 0          |
| No. unstuck/EMA entries        | 5810       |
| No. unstuck/EMA closes         | 4455       |
| No. normal closes              | 132        |
| Average n fills per day        | 11.1       |
| Mean hours stuck               | 2.1622     |
| Max hours stuck                | 96.35      |
| PNL sum                        | 88.28      |
| Profit sum                     | 115.8      |
| Loss sum                       | -27.48     |
| Fee sum                        | -3.83      |
| Volume quote                   | 32849.7    |
+--------------------------------+------------+
