+---------------------------------------------+
|                   Summary                   |
+--------------------------------+------------+
| Metric                         | Value      |
+--------------------------------+------------+
| Exchange                       | bybit      |
| Market type                    | futures    |
| Symbol                         | AGIXUSDT   |
| Passivbot mode                 | clock      |
| ADG n subdivisions             | 10         |
| No. days                       | 83.0       |
| Starting balance               | 1000.0     |
|                                |            |
| Long                           | True       |
| ADG per exposure               | 0.538%     |
| ADG weighted per exposure      | 0.459%     |
| Final balance                  | 1093.78    |
| Final equity                   | 1093.78    |
| Net PNL + fees                 | 93.7835    |
| Net Total gain                 | 9.378%     |
| Average daily gain             | 0.108%     |
| Average daily gain weighted    | 0.0918%    |
| Loss to profit ratio           | 0.07519    |
| Price action distance mean     | 0.00734019 |
| Price action distance std      | 0.0122992  |
| Price action distance max      | 0.142548   |
| Closest bankruptcy             | 100.0%     |
| Lowest equity/balance ratio    | 0.975      |
| Mean of 10 worst eq/bal ratios | 0.9835     |
| Equity/balance ratio std       | 0.001577   |
| No. fills                      | 2527       |
| No. entries                    | 1097       |
| No. closes                     | 1430       |
| No. initial entries            | 0          |
| No. reentries                  | 0          |
| No. unstuck/EMA entries        | 1097       |
| No. unstuck/EMA closes         | 1363       |
| No. normal closes              | 67         |
| Average n fills per day        | 30.3       |
| Mean hours stuck               | 0.790208   |
| Max hours stuck                | 32.8833    |
| PNL sum                        | 95.57      |
| Profit sum                     | 103.3      |
| Loss sum                       | -7.77      |
| Fee sum                        | -1.787     |
| Volume quote                   | 64406.8    |
|                                |            |
| Short                          | True       |
| ADG per exposure               | 1.06%      |
| ADG weighted per exposure      | 1.33%      |
| Final balance                  | 1091.95    |
| Final equity                   | 1091.95    |
| Net PNL + fees                 | 91.9524    |
| Net Total gain                 | 9.195%     |
| Average daily gain             | 0.106%     |
| Average daily gain weighted    | 0.133%     |
| Loss to profit ratio           | 0.08941    |
| Price action distance mean     | 0.0142393  |
| Price action distance std      | 0.0199181  |
| Price action distance max      | 0.160914   |
| Closest bankruptcy             | 100.0%     |
| Lowest equity/balance ratio    | 0.9808     |
| Mean of 10 worst eq/bal ratios | 0.9831     |
| Equity/balance ratio std       | 0.002356   |
| No. fills                      | 1702       |
| No. entries                    | 1013       |
| No. closes                     | 689        |
| No. initial entries            | 0          |
| No. reentries                  | 0          |
| No. unstuck/EMA entries        | 1013       |
| No. unstuck/EMA closes         | 253        |
| No. normal closes              | 436        |
| Average n fills per day        | 20.4       |
| Mean hours stuck               | 1.17671    |
| Max hours stuck                | 20.9167    |
| PNL sum                        | 93.26      |
| Profit sum                     | 102.4      |
| Loss sum                       | -9.157     |
| Fee sum                        | -1.307     |
| Volume quote                   | 38835.4    |
+--------------------------------+------------+
