+--------------------------------------------+
|                  Summary                   |
+--------------------------------+-----------+
| Metric                         | Value     |
+--------------------------------+-----------+
| Exchange                       | bybit     |
| Market type                    | futures   |
| Symbol                         | AXSUSDT   |
| Passivbot mode                 | clock     |
| ADG n subdivisions             | 10        |
| No. days                       | 900.0     |
| Starting balance               | 1000.0    |
|                                |           |
| Long                           | True      |
| ADG per exposure               | 0.304%    |
| ADG weighted per exposure      | 0.136%    |
| Final balance                  | 1729.8    |
| Final equity                   | 1729.78   |
| Net PNL + fees                 | 729.805   |
| Net Total gain                 | 72.98%    |
| Average daily gain             | 0.0608%   |
| Average daily gain weighted    | 0.0272%   |
| Loss to profit ratio           | 0.1797    |
| Price action distance mean     | 0.0180858 |
| Price action distance std      | 0.0281443 |
| Price action distance max      | 0.295871  |
| Closest bankruptcy             | 100.0%    |
| Lowest equity/balance ratio    | 0.9546    |
| Mean of 10 worst eq/bal ratios | 0.9578    |
| Equity/balance ratio std       | 0.005112  |
| No. fills                      | 21980     |
| No. entries                    | 12309     |
| No. closes                     | 9671      |
| No. initial entries            | 0         |
| No. reentries                  | 0         |
| No. unstuck/EMA entries        | 12309     |
| No. unstuck/EMA closes         | 6605      |
| No. normal closes              | 3066      |
| Average n fills per day        | 24.4      |
| Mean hours stuck               | 0.984411  |
| Max hours stuck                | 15.9      |
| PNL sum                        | 746.4     |
| Profit sum                     | 909.9     |
| Loss sum                       | -163.5    |
| Fee sum                        | -16.55    |
| Volume quote                   | 584808.0  |
|                                |           |
| Short                          | True      |
| ADG per exposure               | 0.0722%   |
| ADG weighted per exposure      | 0.0141%   |
| Final balance                  | 1067.31   |
| Final equity                   | 1067.31   |
| Net PNL + fees                 | 67.3118   |
| Net Total gain                 | 6.731%    |
| Average daily gain             | 0.00722%  |
| Average daily gain weighted    | 0.00141%  |
| Loss to profit ratio           | 0.492     |
| Price action distance mean     | 0.010729  |
| Price action distance std      | 0.0102649 |
| Price action distance max      | 0.0962576 |
| Closest bankruptcy             | 100.0%    |
| Lowest equity/balance ratio    | 0.9911    |
| Mean of 10 worst eq/bal ratios | 0.9955    |
| Equity/balance ratio std       | 0.0001272 |
| No. fills                      | 10279     |
| No. entries                    | 5668      |
| No. closes                     | 4611      |
| No. initial entries            | 0         |
| No. reentries                  | 0         |
| No. unstuck/EMA entries        | 5668      |
| No. unstuck/EMA closes         | 3784      |
| No. normal closes              | 827       |
| Average n fills per day        | 11.4      |
| Mean hours stuck               | 2.10532   |
| Max hours stuck                | 106.517   |
| PNL sum                        | 71.63     |
| Profit sum                     | 141.0     |
| Loss sum                       | -69.38    |
| Fee sum                        | -4.32     |
| Volume quote                   | 28786.6   |
+--------------------------------+-----------+
