+--------------------------------------------+
|                  Summary                   |
+--------------------------------+-----------+
| Metric                         | Value     |
+--------------------------------+-----------+
| Exchange                       | bybit     |
| Market type                    | futures   |
| Symbol                         | GRTUSDT   |
| Passivbot mode                 | clock     |
| ADG n subdivisions             | 10        |
| No. days                       | 870.0     |
| Starting balance               | 1000.0    |
|                                |           |
| Long                           | True      |
| ADG per exposure               | 0.386%    |
| ADG weighted per exposure      | 0.223%    |
| Final balance                  | 1959.38   |
| Final equity                   | 1959.38   |
| Net PNL + fees                 | 959.38    |
| Net Total gain                 | 95.94%    |
| Average daily gain             | 0.0771%   |
| Average daily gain weighted    | 0.0447%   |
| Loss to profit ratio           | 0.1126    |
| Price action distance mean     | 0.0131087 |
| Price action distance std      | 0.0197331 |
| Price action distance max      | 0.384118  |
| Closest bankruptcy             | 100.0%    |
| Lowest equity/balance ratio    | 0.9445    |
| Mean of 10 worst eq/bal ratios | 0.9544    |
| Equity/balance ratio std       | 0.002524  |
| No. fills                      | 12536     |
| No. entries                    | 5409      |
| No. closes                     | 7127      |
| No. initial entries            | 0         |
| No. reentries                  | 0         |
| No. unstuck/EMA entries        | 5409      |
| No. unstuck/EMA closes         | 6381      |
| No. normal closes              | 746       |
| Average n fills per day        | 14.4      |
| Mean hours stuck               | 1.67084   |
| Max hours stuck                | 82.9167   |
| PNL sum                        | 972.5     |
| Profit sum                     | 1096.0    |
| Loss sum                       | -123.4    |
| Fee sum                        | -13.17    |
| Volume quote                   | 380933.0  |
|                                |           |
| Short                          | True      |
| ADG per exposure               | 0.286%    |
| ADG weighted per exposure      | 0.194%    |
| Final balance                  | 1283.15   |
| Final equity                   | 1283.05   |
| Net PNL + fees                 | 283.15    |
| Net Total gain                 | 28.32%    |
| Average daily gain             | 0.0286%   |
| Average daily gain weighted    | 0.0194%   |
| Loss to profit ratio           | 0.08388   |
| Price action distance mean     | 0.0155355 |
| Price action distance std      | 0.0196161 |
| Price action distance max      | 0.313769  |
| Closest bankruptcy             | 100.0%    |
| Lowest equity/balance ratio    | 0.9544    |
| Mean of 10 worst eq/bal ratios | 0.9658    |
| Equity/balance ratio std       | 0.002251  |
| No. fills                      | 23198     |
| No. entries                    | 11999     |
| No. closes                     | 11199     |
| No. initial entries            | 0         |
| No. reentries                  | 0         |
| No. unstuck/EMA entries        | 11999     |
| No. unstuck/EMA closes         | 9940      |
| No. normal closes              | 1259      |
| Average n fills per day        | 26.6      |
| Mean hours stuck               | 0.90287   |
| Max hours stuck                | 8.31667   |
| PNL sum                        | 288.0     |
| Profit sum                     | 314.3     |
| Loss sum                       | -26.37    |
| Fee sum                        | -4.812    |
| Volume quote                   | 224095.0  |
+--------------------------------+-----------+
