+--------------------------------------------+
|                  Summary                   |
+--------------------------------+-----------+
| Metric                         | Value     |
+--------------------------------+-----------+
| Exchange                       | bybit     |
| Market type                    | futures   |
| Symbol                         | THETAUSDT |
| Passivbot mode                 | clock     |
| ADG n subdivisions             | 10        |
| No. days                       | 1100.0    |
| Starting balance               | 1000.0    |
|                                |           |
| Long                           | True      |
| ADG per exposure               | 0.248%    |
| ADG weighted per exposure      | 0.123%    |
| Final balance                  | 1706.09   |
| Final equity                   | 1706.09   |
| Net PNL + fees                 | 706.092   |
| Net Total gain                 | 70.61%    |
| Average daily gain             | 0.0495%   |
| Average daily gain weighted    | 0.0246%   |
| Loss to profit ratio           | 0.03217   |
| Price action distance mean     | 0.0130809 |
| Price action distance std      | 0.0199706 |
| Price action distance max      | 0.283109  |
| Closest bankruptcy             | 100.0%    |
| Lowest equity/balance ratio    | 0.9559    |
| Mean of 10 worst eq/bal ratios | 0.9618    |
| Equity/balance ratio std       | 0.002246  |
| No. fills                      | 18133     |
| No. entries                    | 6435      |
| No. closes                     | 11698     |
| No. initial entries            | 0         |
| No. reentries                  | 0         |
| No. unstuck/EMA entries        | 6435      |
| No. unstuck/EMA closes         | 11149     |
| No. normal closes              | 549       |
| Average n fills per day        | 16.8      |
| Mean hours stuck               | 1.42742   |
| Max hours stuck                | 73.55     |
| PNL sum                        | 716.3     |
| Profit sum                     | 740.1     |
| Loss sum                       | -23.81    |
| Fee sum                        | -10.24    |
| Volume quote                   | 489892.0  |
|                                |           |
| Short                          | True      |
| ADG per exposure               | 0.163%    |
| ADG weighted per exposure      | 0.123%    |
| Final balance                  | 1191.8    |
| Final equity                   | 1191.8    |
| Net PNL + fees                 | 191.805   |
| Net Total gain                 | 19.18%    |
| Average daily gain             | 0.0163%   |
| Average daily gain weighted    | 0.0123%   |
| Loss to profit ratio           | 0.1241    |
| Price action distance mean     | 0.0136582 |
| Price action distance std      | 0.019026  |
| Price action distance max      | 0.217495  |
| Closest bankruptcy             | 100.0%    |
| Lowest equity/balance ratio    | 0.9722    |
| Mean of 10 worst eq/bal ratios | 0.9731    |
| Equity/balance ratio std       | 0.001585  |
| No. fills                      | 15676     |
| No. entries                    | 6903      |
| No. closes                     | 8773      |
| No. initial entries            | 0         |
| No. reentries                  | 0         |
| No. unstuck/EMA entries        | 6903      |
| No. unstuck/EMA closes         | 8405      |
| No. normal closes              | 368       |
| Average n fills per day        | 14.5      |
| Mean hours stuck               | 1.65144   |
| Max hours stuck                | 57.7667   |
| PNL sum                        | 195.3     |
| Profit sum                     | 223.0     |
| Loss sum                       | -27.68    |
| Fee sum                        | -3.488    |
| Volume quote                   | 160988.0  |
+--------------------------------+-----------+
