+---------------------------------------------+
|                   Summary                   |
+--------------------------------+------------+
| Metric                         | Value      |
+--------------------------------+------------+
| Exchange                       | bybit      |
| Market type                    | futures    |
| Symbol                         | ZECUSDT    |
| Passivbot mode                 | clock      |
| ADG n subdivisions             | 10         |
| No. days                       | 1200.0     |
| Starting balance               | 1000.0     |
|                                |            |
| Long                           | True       |
| ADG per exposure               | 0.141%     |
| ADG weighted per exposure      | 0.0492%    |
| Final balance                  | 1398.95    |
| Final equity                   | 1398.95    |
| Net PNL + fees                 | 398.946    |
| Net Total gain                 | 39.89%     |
| Average daily gain             | 0.0282%    |
| Average daily gain weighted    | 0.00985%   |
| Loss to profit ratio           | 0.1175     |
| Price action distance mean     | 0.00732774 |
| Price action distance std      | 0.0091699  |
| Price action distance max      | 0.302149   |
| Closest bankruptcy             | 100.0%     |
| Lowest equity/balance ratio    | 0.9537     |
| Mean of 10 worst eq/bal ratios | 0.9706     |
| Equity/balance ratio std       | 0.0006302  |
| No. fills                      | 14998      |
| No. entries                    | 8268       |
| No. closes                     | 6730       |
| No. initial entries            | 0          |
| No. reentries                  | 0          |
| No. unstuck/EMA entries        | 8268       |
| No. unstuck/EMA closes         | 6539       |
| No. normal closes              | 191        |
| Average n fills per day        | 12.6       |
| Mean hours stuck               | 1.90398    |
| Max hours stuck                | 80.5       |
| PNL sum                        | 409.6      |
| Profit sum                     | 464.1      |
| Loss sum                       | -54.54     |
| Fee sum                        | -10.64     |
| Volume quote                   | 95666.2    |
|                                |            |
| Short                          | True       |
| ADG per exposure               | 0.135%     |
| ADG weighted per exposure      | 0.121%     |
| Final balance                  | 1174.26    |
| Final equity                   | 1174.24    |
| Net PNL + fees                 | 174.256    |
| Net Total gain                 | 17.43%     |
| Average daily gain             | 0.0135%    |
| Average daily gain weighted    | 0.0121%    |
| Loss to profit ratio           | 0.1414     |
| Price action distance mean     | 0.0136168  |
| Price action distance std      | 0.0189039  |
| Price action distance max      | 0.270325   |
| Closest bankruptcy             | 100.0%     |
| Lowest equity/balance ratio    | 0.963      |
| Mean of 10 worst eq/bal ratios | 0.965      |
| Equity/balance ratio std       | 0.002082   |
| No. fills                      | 16349      |
| No. entries                    | 9821       |
| No. closes                     | 6528       |
| No. initial entries            | 0          |
| No. reentries                  | 0          |
| No. unstuck/EMA entries        | 9821       |
| No. unstuck/EMA closes         | 3145       |
| No. normal closes              | 3383       |
| Average n fills per day        | 13.7       |
| Mean hours stuck               | 1.74781    |
| Max hours stuck                | 44.2667    |
| PNL sum                        | 178.5      |
| Profit sum                     | 207.9      |
| Loss sum                       | -29.39     |
| Fee sum                        | -4.255     |
| Volume quote                   | 159411.0   |
+--------------------------------+------------+
